Energy [keV],Net Count Rate
9.192,18251
9.212,18136
9.232,18186
9.252,18320
9.272,18401
9.292,18265
9.313,18296
9.333,18614
9.353,18397
9.373,18688
9.393,18634
9.413,18608
9.433,18601
9.453,18713
9.473,18604
9.493,18648
9.513,18897
9.533,18847
9.553,18982
9.573,19058
9.593,19054
9.613,18998
9.633,18866
9.653,18948
9.673,18917
9.693,19060
9.713,19198
9.733,18837
9.753,18798
9.773,18971
9.793,18933
9.813,18824
9.833,19161
9.853,18957
9.873,18901
9.893,19147
9.913,19174
9.933,18888
9.953,19241
9.973,19106
9.993,18977
10.013,19113
10.033,19144
10.054,18960
10.074,19095
10.094,19098
10.114,18766
10.134,19162
10.154,18901
10.174,19168
10.194,18868
10.214,18848
10.234,19024
10.254,18905
10.274,19149
10.294,18990
10.314,18909
10.334,19180
10.354,19094
10.374,19196
10.394,19102
10.414,19193
10.434,19089
10.454,18986
10.474,19053
10.494,18938
10.514,19259
10.534,18755
10.554,18920
10.574,19024
10.594,18814
10.614,19184
10.634,18850
10.654,18946
10.674,19209
10.694,18928
10.714,18985
10.734,18748
10.754,18606
10.774,18857
10.794,18792
10.815,18856
10.835,19028
10.855,18946
10.875,18914
10.895,18758
10.915,18741
10.935,18722
10.955,18631
10.975,18666
10.995,18789
11.015,18479
11.035,18725
11.055,18459
11.075,18821
11.095,18655
11.115,18581
11.135,18512
11.155,18718
11.175,18617
11.195,18472
11.215,18564
11.235,18258
11.255,18564
11.275,18192
11.295,18333
11.315,18155
11.335,18515
11.355,18332
11.375,18095
11.395,18411
11.415,18294
11.435,18279
11.455,18073
11.475,18184
11.495,18158
11.515,18289
11.535,17902
11.556,18437
11.576,18042
11.596,18002
11.616,17888
11.636,18074
11.656,18177
11.676,17793
11.696,17929
11.716,17867
11.736,18081
11.756,18014
11.776,17836
11.796,17887
11.816,17835
11.836,17830
11.856,17552
11.876,17691
11.896,17590
11.916,17566
11.936,17544
11.956,17588
11.976,17532
11.996,17669
12.016,17401
12.036,17407
12.056,17278
12.076,17226
12.096,17259
12.116,17314
12.136,17074
12.156,17218
12.176,17246
12.196,16718
12.216,17058
12.236,16815
12.256,17101
12.276,17060
12.297,17041
12.317,16664
12.337,16673
12.357,16664
12.377,16795
12.397,16567
12.417,16424
12.437,16525
12.457,16108
12.477,16434
12.497,16443
12.517,16359
12.537,16395
12.557,16277
12.577,16254
12.597,16178
12.617,16193
12.637,16179
12.657,16131
12.677,16154
12.697,16194
12.717,15799
12.737,16067
12.757,15696
12.777,15734
12.797,16039
12.817,15882
12.837,15853
12.857,15709
12.877,15946
12.897,15748
12.917,15844
12.937,15538
12.957,15568
12.977,15847
12.997,15757
13.017,15592
13.038,15437
13.058,15224
13.078,15291
13.098,15338
13.118,15337
13.138,15246
13.158,15460
13.178,15247
13.198,15098
13.218,15229
13.238,15074
13.258,15039
13.278,15056
13.298,14960
13.318,14850
13.338,14611
13.358,14955
13.378,14776
13.398,14754
13.418,14634
13.438,14650
13.458,14741
13.478,14776
13.498,14727
13.518,14632
13.538,14617
13.558,14386
13.578,14490
13.598,14453
13.618,14444
13.638,14460
13.658,14326
13.678,14205
13.698,14406
13.718,14080
13.738,14224
13.758,14032
13.779,14010
13.799,14178
13.819,13760
13.839,13984
13.859,13946
13.879,13864
13.899,13813
13.919,13812
13.939,13675
13.959,13728
13.979,13587
13.999,13705
14.019,13870
14.039,13628
