Energy [keV],Net Count Rate
9.219,11665
9.239,11699
9.259,11938
9.279,11735
9.299,11833
9.32,11902
9.34,11738
9.36,11858
9.38,11814
9.4,12074
9.42,11882
9.44,11840
9.46,11799
9.48,12022
9.5,12081
9.52,11930
9.541,11949
9.561,11863
9.581,11960
9.601,12164
9.621,11887
9.641,11942
9.661,11809
9.681,12018
9.701,11754
9.721,12100
9.741,11990
9.761,11856
9.782,12011
9.802,12007
9.822,11876
9.842,11856
9.862,11704
9.882,11561
9.902,11948
9.922,11897
9.942,11703
9.962,11793
9.982,11771
10.002,11856
10.023,11792
10.043,11804
10.063,11659
10.083,11891
10.103,11852
10.123,11638
10.143,11675
10.163,11697
10.183,11614
10.203,11758
10.223,11811
10.244,11764
10.264,11823
10.284,11488
10.304,11713
10.324,11644
10.344,11739
10.364,11585
10.384,11582
10.404,11756
10.424,11495
10.444,11652
10.464,11240
10.485,11612
10.505,11368
10.525,11448
10.545,11577
10.565,11472
10.585,11407
10.605,11354
10.625,11169
10.645,11302
10.665,11315
10.685,11416
10.705,11224
10.726,11195
10.746,11285
10.766,11082
10.786,11252
10.806,11368
10.826,11011
10.846,11028
10.866,11096
10.886,11175
10.906,10911
10.926,10960
10.946,10932
10.967,10720
10.987,11088
11.007,10780
11.027,11018
11.047,10838
11.067,10728
11.087,10791
11.107,10856
11.127,10866
11.147,10630
11.167,10776
11.188,10657
11.208,10552
11.228,10652
11.248,10439
11.268,10651
11.288,10517
11.308,10578
11.328,10609
11.348,10507
11.368,10489
11.388,10639
11.408,10324
11.429,10544
11.449,10435
11.469,10450
11.489,10410
11.509,10494
11.529,10229
11.549,10192
11.569,10243
11.589,10157
11.609,10219
11.629,10288
11.649,10180
11.67,10139
11.69,10116
11.71,10194
11.73,10056
11.75,10142
11.77,10106
11.79,9909
11.81,9916
11.83,9961
11.85,9922
11.87,9890
11.89,9910
11.911,9972
11.931,9760
11.951,9809
11.971,9900
11.991,9684
12.011,9713
12.031,9774
12.051,9604
12.071,9445
12.091,9770
12.111,9474
12.132,9605
12.152,9599
12.172,9547
12.192,9598
12.212,9427
12.232,9404
12.252,9450
12.272,9361
12.292,9235
12.312,9234
12.332,9334
12.352,9099
12.373,9154
12.393,9216
12.413,9384
12.433,9124
12.453,9263
12.473,9053
12.493,9103
12.513,9135
12.533,9025
12.553,9072
12.573,9026
12.593,9007
12.614,8949
12.634,8804
12.654,8722
12.674,8918
12.694,8700
12.714,8968
12.734,8753
12.754,8809
12.774,8685
12.794,8703
12.814,8607
12.835,8691
12.855,8511
12.875,8422
12.895,8510
12.915,8558
12.935,8439
12.955,8504
12.975,8465
12.995,8458
13.015,8446
13.035,8208
13.055,8229
13.076,8255
13.096,8116
13.116,8299
13.136,8185
13.156,8038
13.176,8062
13.196,7993
13.216,7994
13.236,8031
13.256,8019
13.276,8141
13.296,8093
13.317,8078
13.337,8071
13.357,8130
13.377,8083
13.397,8143
13.417,8197
13.437,8034
13.457,7937
13.477,7957
13.497,7918
13.517,7952
13.537,7664
13.558,7816
13.578,7658
13.598,7676
13.618,7513
13.638,7412
13.658,7507
13.678,7464
13.698,7573
13.718,7473
13.738,7316
13.758,7373
13.779,7316
13.799,7261
13.819,7172
13.839,7290
13.859,7280
13.879,7245
13.899,7190
13.919,7141
13.939,7150
13.959,7191
13.979,7349
13.999,7369
14.02,7401
14.04,7573
14.06,7730
14.08,7868
14.1,8080
14.12,8554
14.14,8666
14.16,8895
14.18,9006
14.2,8757
14.22,8749
14.24,8586
14.261,8280
14.281,8060
14.301,7647
14.321,7524
14.341,7260
14.361,7085
14.381,6821
14.401,6695
14.421,6747
14.441,6717
14.461,6632
14.482,6607
14.502,6485
14.522,6657
14.542,6496
14.562,6545
14.582,6400
14.602,6397
14.622,6370
14.642,6435
14.662,6350
14.682,6355
14.702,6407
14.723,6352
14.743,6245
14.763,6188
14.783,6185
14.803,6289
14.823,6335
14.843,6190
14.863,6172
14.883,6048
14.903,6147
14.923,5960
14.943,6127
14.964,5999
14.984,6064
15.004,6161
15.024,6120
15.044,5962
15.064,6081
15.084,5878
15.104,5967
15.124,5997
15.144,5779
15.164,5868
15.184,5737
15.205,5791
15.225,5653
15.245,5854
15.265,5921
15.285,5614
15.305,5746
15.325,5682
15.345,5601
15.365,5499
15.385,5641
15.405,5518
15.426,5523
15.446,5555
15.466,5499
15.486,5672
15.506,5575
15.526,5501
15.546,5508
15.566,5432
15.586,5374
15.606,5460
15.626,5197
15.646,5390
15.667,5277
15.687,5301
15.707,5321
15.727,5284
15.747,5372
15.767,5384
15.787,5345
15.807,5252
15.827,5487
15.847,5422
15.867,5387
15.887,5300
15.908,5302
15.928,5261
15.948,5151
15.968,5239
15.988,5166
16.008,5176
16.028,4975
16.048,5039
16.068,5033
16.088,5104
16.108,4871
16.128,4958
16.149,4885
16.169,4820
16.189,4791
16.209,4763
16.229,4732
16.249,4948
16.269,4813
16.289,4641
16.309,4804
16.329,4708
16.349,4659
16.37,4704
16.39,4524
16.41,4592
16.43,4521
16.45,4611
16.47,4581
16.49,4470
16.51,4489
16.53,4443
16.55,4422
16.57,4597
16.59,4567
16.611,4441
16.631,4356
16.651,4479
16.671,4414
16.691,4481
16.711,4488
16.731,4419
16.751,4215
16.771,4315
16.791,4306
16.811,4378
16.831,4350
16.852,4272
16.872,4227
16.892,4322
16.912,4134
16.932,4242
16.952,4188
16.972,4239
16.992,4109
17.012,4189
17.032,4300
17.052,4243
17.073,4140
17.093,4110
17.113,4220
17.133,4111
17.153,4252
17.173,4015
17.193,4167
17.213,4014
17.233,4074
17.253,4067
17.273,4061
17.293,3973
17.314,4033
17.334,3993
17.354,4104
17.374,3987
17.394,3947
17.414,3897
17.434,4062
17.454,3982
17.474,4026
17.494,4049
17.514,4017
17.534,3868
17.555,3930
17.575,3946
17.595,3936
17.615,3973
17.635,4008
17.655,3905
17.675,3929
17.695,3915
17.715,3974
17.735,3902
17.755,3949
17.775,3969
17.796,3908
17.816,3960
17.836,4016
17.856,3920
17.876,3902
17.896,3962
17.916,4012
17.936,4146
17.956,3984
17.976,4085
17.996,4023
18.017,4096
18.037,4062
18.057,4069
18.077,4089
18.097,4213
18.117,4145
18.137,4143
18.157,4173
18.177,4207
18.197,4208
18.217,4359
18.237,4235
18.258,4393
18.278,4353
18.298,4414
18.318,4422
18.338,4538
18.358,4603
18.378,4666
18.398,4721
18.418,4789
18.438,4929
18.458,5017
18.478,5295
18.499,5434
18.519,5615
18.539,5660
18.559,5897
18.579,6222
18.599,6570
18.619,6809
18.639,7087
18.659,7582
18.679,8091
18.699,8450
18.719,9061
18.74,9433
18.76,9934
18.78,10284
18.8,10950
18.82,11513
18.84,12147
18.86,12468
18.88,13203
18.9,13384
18.92,13838
18.94,14201
18.961,14349
18.981,14798
19.001,15155
19.021,15042
19.041,15044
19.061,15146
19.081,14978
19.101,14812
19.121,14502
19.141,14497
19.161,14053
19.181,13492
19.202,13120
19.222,12645
19.242,11899
19.262,11503
19.282,10791
19.302,10504
19.322,9977
19.342,9405
19.362,8739
19.382,8349
19.402,7809
19.422,7275
19.443,6713
19.463,6390
19.483,6111
19.503,5622
19.523,5469
19.543,5194
19.563,4897
19.583,4624
19.603,4552
19.623,4383
19.643,4015
19.664,3988
19.684,3876
19.704,3723
19.724,3587
19.744,3545
19.764,3389
19.784,3255
19.804,3208
19.824,3114
19.844,3063
19.864,3000
19.884,2950
19.905,3000
19.925,2983
19.945,3016
19.965,2967
19.985,3114
20.005,3132
20.025,3357
20.045,3587
20.065,3887
20.085,3991
20.105,4219
20.125,4431
20.146,4655
20.166,4933
20.186,5113
20.206,5340
20.226,5297
20.246,5494
20.266,5272
20.286,5295
20.306,5058
20.326,4822
20.346,4485
20.366,4148
20.387,3838
20.407,3456
20.427,3225
20.447,2935
20.467,2774
20.487,2581
20.507,2433
20.527,2504
20.547,2341
20.567,2387
20.587,2282
20.608,2251
20.628,2266
20.648,2288
20.668,2361
20.688,2300
20.708,2349
20.728,2339
20.748,2490
20.768,2392
20.788,2459
20.808,2519
20.828,2492
20.849,2637
20.869,2672
20.889,2659
20.909,2731
20.929,2733
20.949,2921
20.969,2986
20.989,3180
21.009,3243
21.029,3498
21.049,3578
21.069,3629
21.09,3767
21.11,3948
21.13,4006
21.15,4205
21.17,4287
21.19,4296
21.21,4368
21.23,4442
21.25,4378
21.27,4367
21.29,4194
21.311,4081
21.331,4032
21.351,3891
21.371,3783
21.391,3699
21.411,3561
21.431,3418
21.451,3410
21.471,3284
21.491,3184
21.511,3081
21.531,3058
21.552,2916
21.572,2819
21.592,2789
21.612,2713
21.632,2666
21.652,2646
21.672,2560
21.692,2514
21.712,2359
21.732,2297
21.752,2304
21.772,2293
21.793,2192
21.813,2149
21.833,2113
21.853,2028
21.873,2036
21.893,2054
21.913,1967
21.933,1855
21.953,1972
21.973,1895
21.993,1799
22.013,1780
22.034,1748
22.054,1757
22.074,1757
22.094,1703
22.114,1708
22.134,1658
22.154,1661
22.174,1584
22.194,1589
22.214,1622
22.234,1508
22.255,1600
22.275,1559
22.295,1527
22.315,1453
22.335,1546
22.355,1477
22.375,1403
22.395,1441
22.415,1433
22.435,1474
22.455,1343
22.475,1438
22.496,1457
22.516,1394
22.536,1394
22.556,1436
22.576,1475
22.596,1397
22.616,1413
22.636,1518
22.656,1513
22.676,1521
22.696,1612
22.716,1619
22.737,1632
22.757,1618
22.777,1611
22.797,1602
22.817,1642
22.837,1570
22.857,1587
22.877,1574
22.897,1501
22.917,1492
22.937,1391
22.957,1351
22.978,1335
22.998,1306
23.018,1366
23.038,1301
23.058,1230
23.078,1265
23.098,1277
23.118,1217
23.138,1261
23.158,1212
23.178,1243
23.199,1202
23.219,1247
23.239,1260
23.259,1261
23.279,1201
23.299,1216
23.319,1142
23.339,1219
23.359,1231
23.379,1177
23.399,1137
23.419,1179
23.44,1146
23.46,1099
23.48,1150
23.5,1193
23.52,1131
23.54,1150
23.56,1098
23.58,1084
23.6,1114
23.62,1133
23.64,1142
23.66,1099
23.681,1052
23.701,1186
23.721,1106
23.741,1224
23.761,1157
23.781,1145
23.801,1215
23.821,1145
23.841,1269
23.861,1227
23.881,1211
23.902,1248
23.922,1173
23.942,1260
23.962,1179
23.982,1200
24.002,1141
24.022,1104
24.042,1087
24.062,1078
24.082,1086
24.102,1018
24.122,1060
24.143,976
24.163,989
24.183,985
24.203,1020
24.223,952
24.243,944
24.263,985
24.283,1002
24.303,951
24.323,1003
24.343,940
24.363,985
24.384,946
24.404,1010
24.424,948
24.444,969
24.464,974
24.484,940
24.504,958
24.524,991
24.544,908
24.564,914
24.584,925
24.604,921
24.625,946
24.645,890
24.665,917
24.685,951
24.705,921
24.725,882
24.745,942
24.765,945
24.785,905
24.805,886
24.825,911
24.846,908
24.866,832
24.886,879
24.906,886
24.926,790
24.946,882
24.966,906
24.986,798
25.006,830
25.026,896
25.046,847
25.066,839
25.087,799
25.107,849
25.127,874
25.147,789
25.167,831
25.187,803
25.207,799
25.227,826
25.247,812
25.267,837
25.287,769
25.307,826
25.328,829
25.348,825
25.368,759
25.388,834
25.408,785
25.428,763
25.448,804
25.468,765
25.488,767
25.508,798
25.528,793
25.549,806
25.569,792
25.589,731
25.609,763
25.629,742
25.649,741
25.669,779
25.689,757
25.709,790
25.729,772
25.749,743
25.769,698
25.79,756
25.81,747
25.83,736
25.85,799
25.87,763
25.89,724
25.91,688
25.93,715
25.95,744
25.97,694
25.99,702
26.01,675
26.031,644
26.051,695
26.071,665
26.091,694
26.111,635
26.131,685
26.151,722
26.171,696
26.191,716
26.211,665
26.231,633
26.251,692
26.272,641
26.292,620
26.312,661
26.332,675
26.352,649
26.372,669
26.392,642
26.412,663
26.432,646
26.452,681
26.472,620
26.493,638
26.513,660
26.533,640
26.553,665
26.573,667
26.593,651
26.613,602
26.633,626
26.653,668
26.673,597
26.693,652
26.713,586
26.734,590
26.754,540
26.774,589
26.794,555
26.814,689
26.834,590
26.854,578
26.874,597
26.894,603
26.914,566
26.934,620
26.954,597
26.975,566
26.995,606
27.015,619
27.035,584
27.055,526
27.075,597
27.095,556
27.115,605
27.135,577
27.155,557
27.175,565
27.195,514
27.216,542
27.236,549
27.256,570
27.276,592
27.296,552
27.316,567
27.336,518
27.356,524
27.376,540
27.396,563
27.416,529
27.437,537
27.457,514
27.477,529
27.497,566
27.517,549
27.537,525
27.557,519
27.577,564
27.597,472
27.617,514
27.637,512
27.657,493
27.678,543
27.698,523
27.718,514
27.738,495
27.758,530
27.778,501
27.798,499
27.818,528
27.838,499
27.858,515
27.878,465
27.898,499
27.919,430
27.939,525
27.959,461
27.979,449
27.999,529
28.019,477
28.039,484
28.059,452
28.079,482
28.099,462
28.119,502
28.14,468
28.16,477
28.18,452
28.2,463
28.22,495
28.24,461
28.26,437
28.28,430
28.3,435
28.32,464
28.34,451
28.36,454
28.381,441
28.401,422
28.421,453
28.441,445
28.461,406
28.481,425
28.501,440
28.521,442
28.541,406
28.561,437
28.581,457
28.601,448
28.622,426
28.642,445
28.662,385
28.682,463
28.702,423
28.722,396
28.742,374
