Energy [keV],Net Count Rate
9.201,11980
9.221,12212
9.241,12138
9.261,12134
9.281,12103
9.301,12037
9.321,12208
9.341,12057
9.361,12341
9.381,12312
9.401,12334
9.421,12290
9.441,12312
9.461,12550
9.481,12148
9.501,12283
9.521,12294
9.541,12357
9.561,12411
9.582,12493
9.602,12251
9.622,12473
9.642,12572
9.662,12527
9.682,12643
9.702,12438
9.722,12644
9.742,12443
9.762,12459
9.782,12556
9.802,12479
9.822,12359
9.842,12783
9.862,12523
9.882,12483
9.902,12351
9.922,12542
9.942,12599
9.962,12686
9.982,12634
10.002,12539
10.022,12595
10.043,12720
10.063,12442
10.083,12432
10.103,12653
10.123,12589
10.143,12397
10.163,12462
10.183,12653
10.203,12460
10.223,12361
10.243,12456
10.263,12419
10.283,12490
10.303,12416
10.323,12686
10.343,12325
10.363,12634
10.383,12653
10.403,12557
10.423,12542
10.443,12472
10.463,12564
10.484,12634
10.504,12635
10.524,12621
10.544,12345
10.564,12468
10.584,12376
10.604,12682
10.624,12232
10.644,12542
10.664,12482
10.684,12623
10.704,12289
10.724,12640
10.744,12491
10.764,12387
10.784,12270
10.804,12424
10.824,12454
10.844,12463
10.864,12355
10.884,12287
10.904,12239
10.925,12260
10.945,12374
10.965,12356
10.985,12450
11.005,12233
11.025,12343
11.045,12130
11.065,12311
11.085,12169
11.105,12032
11.125,12186
11.145,12380
11.165,12074
11.185,12161
11.205,12007
11.225,12330
11.245,12309
11.265,12104
11.285,12138
11.305,12010
11.325,12075
11.345,11905
11.366,12141
11.386,11921
11.406,12119
11.426,11972
11.446,11958
11.466,11996
11.486,12065
11.506,11908
11.526,12087
11.546,12226
11.566,11951
11.586,11842
11.606,11907
11.626,12090
11.646,11804
11.666,11907
11.686,11800
11.706,11761
11.726,11786
11.746,11913
11.766,11863
11.786,11910
11.807,11933
11.827,12049
11.847,11952
11.867,12136
11.887,12228
11.907,12147
11.927,12235
11.947,12204
11.967,12241
11.987,11969
12.007,12079
12.027,12029
12.047,11820
12.067,11631
12.087,11584
12.107,11442
12.127,11405
12.147,11331
12.167,11525
12.187,11222
12.207,11337
12.227,11416
12.247,11330
12.268,11235
12.288,11417
12.308,11255
12.328,11144
12.348,11251
12.368,11122
12.388,11020
12.408,10968
12.428,11127
12.448,11141
12.468,11131
12.488,10842
12.508,10916
12.528,10827
12.548,10916
12.568,10936
12.588,10794
12.608,10762
12.628,10915
12.648,10824
12.668,10890
12.688,10634
12.709,10639
12.729,10753
12.749,10620
12.769,10728
12.789,10603
12.809,10515
12.829,10668
12.849,10612
12.869,10595
12.889,10291
12.909,10446
12.929,10277
12.949,10291
12.969,10197
12.989,10307
13.009,10396
13.029,10161
13.049,10228
13.069,10225
13.089,10096
13.109,9953
13.129,9958
13.15,9999
13.17,10041
13.19,10182
13.21,10089
13.23,10068
13.25,10033
13.27,9985
13.29,10005
13.31,10008
13.33,9944
13.35,9879
13.37,10004
13.39,9932
13.41,9833
13.43,9981
13.45,9666
13.47,9629
13.49,9496
13.51,9614
13.53,9477
13.55,9504
13.57,9693
13.591,9648
13.611,9644
13.631,9464
13.651,9261
13.671,9299
13.691,9297
13.711,9386
13.731,9363
13.751,9442
13.771,9335
13.791,9213
13.811,9469
13.831,9189
13.851,9148
13.871,9169
13.891,9095
13.911,9254
13.931,9088
13.951,9193
13.971,9204
13.991,9344
14.011,9377
14.032,9447
14.052,9733
14.072,9693
14.092,9977
14.112,10029
14.132,10374
14.152,10461
14.172,10394
14.192,10330
14.212,10292
14.232,10242
14.252,9972
14.272,9646
