Energy [keV],Net Count Rate
9.212,11312
9.232,11289
9.252,11054
9.272,11288
9.292,11258
9.312,11265
9.332,11325
9.352,11319
9.373,11250
9.393,11356
9.413,11229
9.433,11358
9.453,11184
9.473,11292
9.493,11443
9.513,11415
9.533,11297
9.553,11265
9.573,11209
9.593,11181
9.613,11277
9.633,11265
9.653,11466
9.674,11313
9.694,11254
9.714,11274
9.734,11412
9.754,11261
9.774,11318
9.794,11425
9.814,11265
9.834,11035
9.854,11070
9.874,11286
9.894,10988
9.914,11152
9.934,11162
9.955,11095
9.975,11287
9.995,11178
10.015,11430
10.035,11163
10.055,11189
10.075,11084
10.095,11189
10.115,11306
10.135,11156
10.155,11103
10.175,11239
10.195,11130
10.215,11178
10.235,11083
10.256,10939
10.276,10985
10.296,11050
10.316,11055
10.336,11035
10.356,11017
10.376,11072
10.396,11057
10.416,11150
10.436,10894
10.456,10929
10.476,11060
10.496,10971
10.516,10991
10.537,10827
10.557,10935
10.577,10799
10.597,10821
10.617,10765
10.637,10963
10.657,10926
10.677,10753
10.697,10878
10.717,10711
10.737,10701
10.757,10840
10.777,10795
10.797,10707
10.818,10794
10.838,10702
10.858,10705
10.878,10632
10.898,10658
10.918,10652
10.938,10644
10.958,10553
10.978,10457
10.998,10473
11.018,10661
11.038,10578
11.058,10564
11.078,10586
11.098,10368
11.119,10365
11.139,10503
11.159,10478
11.179,10457
11.199,10387
11.219,10376
11.239,10471
11.259,10434
11.279,10308
11.299,10256
11.319,10443
11.339,10315
11.359,10309
11.379,10308
11.4,10245
11.42,10227
11.44,10172
11.46,10353
11.48,9994
11.5,10078
11.52,10008
11.54,10131
11.56,9949
11.58,10127
11.6,9964
11.62,9966
11.64,10147
11.66,9848
11.681,9783
11.701,9943
11.721,9757
11.741,9646
11.761,9828
11.781,9785
11.801,9845
11.821,10081
11.841,9991
11.861,9950
11.881,10404
11.901,10420
11.921,10414
11.941,10343
11.961,10369
11.982,10291
12.002,10310
12.022,9994
12.042,9785
12.062,9919
12.082,9506
12.102,9625
12.122,9421
12.142,9537
12.162,9460
12.182,9399
12.202,9301
12.222,9275
12.242,9286
12.263,9364
12.283,9095
12.303,9017
12.323,9135
12.343,9065
12.363,9086
12.383,9061
12.403,8964
12.423,8933
12.443,9149
12.463,8855
12.483,8968
12.503,8874
12.523,8977
12.544,8902
12.564,8922
12.584,8828
12.604,8736
12.624,8990
12.644,8617
12.664,8628
12.684,8647
12.704,8700
12.724,8616
12.744,8507
12.764,8477
12.784,8553
12.804,8590
12.824,8465
12.845,8660
12.865,8636
12.885,8469
12.905,8392
12.925,8539
12.945,8268
12.965,8415
12.985,8282
13.005,8166
13.025,8252
13.045,7972
13.065,8067
13.085,8112
13.105,8169
13.126,8076
13.146,8217
13.166,7876
13.186,8102
13.206,8045
13.226,8083
13.246,7988
13.266,8200
13.286,8379
13.306,8209
13.326,8067
13.346,8229
13.366,8098
13.386,8259
13.406,8111
13.427,8152
13.447,7989
13.467,8058
13.487,7741
13.507,7976
13.527,7903
13.547,7833
13.567,7511
13.587,7611
13.607,7593
13.627,7442
13.647,7474
13.667,7548
13.687,7507
13.708,7200
13.728,7345
13.748,7315
13.768,7323
13.788,7336
13.808,7248
13.828,7207
13.848,7109
13.868,7102
13.888,7124
13.908,7210
13.928,7084
13.948,7132
13.968,7061
13.989,7111
14.009,7169
14.029,6957
14.049,7006
14.069,6913
14.089,6942
14.109,6903
14.129,6875
14.149,6998
14.169,6986
14.189,6869
14.209,6835
14.229,6802
14.249,6785
14.269,6738
14.29,6595
14.31,6836
14.33,6480
14.35,6621
14.37,6566
14.39,6707
14.41,6511
14.43,6672
14.45,6559
14.47,6404
14.49,6512
14.51,6449
14.53,6390
14.55,6380
14.571,6385
14.591,6411
14.611,6368
14.631,6395
14.651,6342
14.671,6418
14.691,6275
14.711,6309
14.731,6084
14.751,6103
14.771,6188
14.791,6279
14.811,6230
14.831,6000
14.852,6052
14.872,6085
14.892,6204
14.912,6086
14.932,6096
14.952,6229
14.972,5955
14.992,6063
15.012,5980
15.032,5756
15.052,5820
15.072,5846
15.092,5847
15.112,5966
15.132,5829
15.153,5920
15.173,5837
15.193,5924
15.213,5639
15.233,5617
15.253,5729
15.273,5717
15.293,5652
15.313,5622
15.333,5612
15.353,5566
15.373,5569
15.393,5519
15.413,5602
15.434,5403
15.454,5439
15.474,5406
15.494,5413
15.514,5447
15.534,5414
15.554,5201
15.574,5399
15.594,5378
15.614,5318
15.634,5186
15.654,5365
15.674,5345
15.694,5217
15.714,5221
15.735,5146
15.755,5097
15.775,5139
15.795,5084
15.815,5138
15.835,5151
15.855,5103
15.875,5046
15.895,5075
15.915,4993
