Energy [keV],Net Count Rate
9.219,15572
9.239,15412
9.259,15371
9.279,15283
9.299,15443
9.32,15540
9.34,15710
9.36,15658
9.38,15579
9.4,15421
9.42,15504
9.44,15344
9.46,15336
9.48,15753
9.5,15616
9.52,15777
9.54,15986
9.561,15925
9.581,16052
9.601,16163
9.621,15879
9.641,15959
9.661,16018
9.681,15844
9.701,15822
9.721,15746
9.741,15590
9.761,15718
9.781,15848
9.802,15870
9.822,15829
9.842,15675
9.862,15362
9.882,15476
9.902,15644
9.922,15753
9.942,15530
9.962,15380
9.982,15600
10.002,15777
10.023,15332
10.043,15651
10.063,15544
10.083,15730
10.103,15509
10.123,15544
10.143,15581
10.163,15361
10.183,15479
10.203,15697
10.223,15658
10.243,15724
10.264,15468
10.284,15626
10.304,15716
10.324,15584
10.344,15566
10.364,15418
10.384,15458
10.404,15450
10.424,15412
10.444,15465
10.464,15474
10.484,15288
10.505,15425
10.525,15433
10.545,15606
10.565,15527
10.585,15406
10.605,15298
10.625,15501
10.645,14977
10.665,15240
10.685,15386
10.705,15308
10.725,15151
10.746,15390
10.766,14892
10.786,15251
10.806,15198
10.826,15255
10.846,15062
10.866,15307
10.886,15091
10.906,15089
10.926,14891
10.946,15072
10.967,14890
10.987,15191
11.007,14927
11.027,15070
11.047,14753
11.067,14895
11.087,14871
11.107,14795
11.127,15003
11.147,14725
11.167,14973
11.187,14730
11.208,14751
11.228,14895
11.248,14848
11.268,14816
11.288,14747
11.308,14834
11.328,14721
11.348,14690
11.368,14682
11.388,14477
11.408,14444
11.428,14377
11.449,14459
11.469,14375
11.489,14386
11.509,14439
11.529,14433
11.549,14504
11.569,14257
11.589,14353
11.609,14279
11.629,14152
11.649,14241
11.67,14181
11.69,13953
11.71,14079
11.73,13944
11.75,14034
11.77,14125
11.79,14117
11.81,14173
11.83,14203
11.85,13982
11.87,14133
11.89,14070
11.911,13862
11.931,13739
11.951,14046
11.971,13859
11.991,13723
12.011,13759
12.031,13866
12.051,13603
12.071,13694
12.091,13595
12.111,13439
12.131,13331
12.152,13571
12.172,13435
12.192,13207
12.212,13214
12.232,13300
12.252,13418
12.272,13257
12.292,13251
12.312,13083
12.332,13339
12.352,13125
12.372,13186
12.393,13241
12.413,13128
12.433,12982
12.453,13029
12.473,12977
12.493,12843
12.513,13113
12.533,12709
12.553,12811
12.573,12550
12.593,12856
12.614,12736
12.634,12644
12.654,12579
12.674,12622
12.694,12399
12.714,12437
12.734,12436
12.754,12327
12.774,12355
12.794,12286
12.814,12281
12.834,12197
12.855,12258
12.875,12170
12.895,12011
12.915,12096
12.935,12051
12.955,11969
12.975,12084
12.995,11989
13.015,11848
13.035,11847
13.055,11671
13.075,11718
13.096,11748
13.116,11716
13.136,11795
13.156,11641
13.176,11825
13.196,11607
13.216,11573
13.236,11618
13.256,11344
13.276,11609
13.296,11427
13.316,11258
13.337,11482
13.357,11248
13.377,11542
13.397,11362
13.417,11190
13.437,11159
13.457,11189
13.477,11124
13.497,11166
13.517,11177
13.537,10996
13.558,11075
13.578,10961
