Energy [keV],Net Count Rate
9.216,5874
9.236,5837
9.256,5963
9.276,6035
9.297,5960
9.317,5925
9.337,5854
9.357,5889
9.377,5888
9.397,5912
9.417,5820
9.437,5937
9.457,5763
9.477,5920
9.497,5956
9.517,5957
9.537,6067
9.558,5987
9.578,6003
9.598,5940
9.618,6118
9.638,6005
9.658,6076
9.678,5982
9.698,5978
9.718,6002
9.738,6018
9.758,5948
9.778,6029
9.799,6093
9.819,5853
9.839,5973
9.859,6076
9.879,5936
9.899,5807
9.919,6093
9.939,6057
9.959,6153
9.979,5980
9.999,6087
10.019,6068
10.039,5961
10.06,6069
10.08,6043
10.1,6226
10.12,6123
10.14,6167
10.16,6075
10.18,6191
10.2,6161
10.22,6139
10.24,5983
10.26,6140
10.28,6041
10.3,5992
10.321,6070
10.341,6076
10.361,6080
10.381,5964
10.401,6084
10.421,6017
10.441,6091
10.461,6036
10.481,5950
10.501,5979
10.521,5996
10.541,6040
10.562,6092
10.582,6107
10.602,6116
10.622,5976
10.642,6009
10.662,6120
10.682,5938
10.702,5935
10.722,6067
10.742,5972
10.762,5878
10.782,5954
10.802,6040
10.823,5928
10.843,6001
10.863,5839
10.883,5929
10.903,5954
10.923,6004
10.943,5946
10.963,5982
10.983,5904
11.003,6067
11.023,5965
11.043,5940
11.063,5916
11.084,6037
11.104,6044
11.124,6070
11.144,5913
11.164,5752
11.184,5751
11.204,5930
11.224,6041
11.244,5827
11.264,5866
11.284,5879
11.304,5925
11.324,5976
11.345,5816
11.365,5858
11.385,5824
11.405,5816
11.425,5962
11.445,5922
11.465,5814
11.485,5882
11.505,5903
11.525,5839
11.545,5803
11.565,5852
11.586,5810
11.606,5989
11.626,5855
11.646,5861
11.666,5774
11.686,5888
11.706,5902
11.726,5881
11.746,5815
11.766,5827
11.786,5813
11.806,5867
11.826,5929
11.847,6008
11.867,5915
11.887,5972
11.907,5981
11.927,5975
11.947,6032
11.967,5917
11.987,5963
12.007,5842
12.027,5925
12.047,5824
12.067,5718
12.087,5703
12.108,5801
12.128,5845
12.148,5741
12.168,5684
12.188,5648
12.208,5794
12.228,5754
12.248,5750
12.268,5590
12.288,5683
12.308,5644
12.328,5701
12.349,5742
12.369,5833
12.389,5694
12.409,5774
12.429,5768
12.449,5734
12.469,5735
12.489,5761
12.509,5622
12.529,5646
12.549,5584
12.569,5603
12.589,5618
12.61,5855
12.63,5695
12.65,5440
12.67,5727
12.69,5693
12.71,5639
12.73,5688
12.75,5605
12.77,5548
12.79,5531
12.81,5620
12.83,5569
12.85,5582
12.871,5500
12.891,5521
12.911,5479
12.931,5496
12.951,5634
12.971,5548
12.991,5477
13.011,5407
13.031,5384
13.051,5577
13.071,5430
13.091,5457
13.112,5405
13.132,5412
13.152,5397
13.172,5328
13.192,5453
13.212,5352
13.232,5262
13.252,5439
13.272,5378
13.292,5535
13.312,5405
13.332,5209
13.352,5443
13.373,5450
13.393,5328
13.413,5374
13.433,5424
13.453,5417
13.473,5362
13.493,5266
13.513,5445
13.533,5242
13.553,5321
13.573,5396
13.593,5350
13.613,5313
13.634,5299
13.654,5379
13.674,5258
13.694,5369
13.714,5323
13.734,5268
13.754,5295
13.774,5163
13.794,5288
13.814,5295
13.834,5242
13.854,5394
13.875,5171
13.895,5179
13.915,5098
13.935,5182
13.955,5278
13.975,5319
13.995,5403
14.015,5347
14.035,5643
14.055,5633
14.075,5736
14.095,5913
14.115,6077
14.136,6199
14.156,6410
14.176,6468
14.196,6421
14.216,6320
14.236,6127
14.256,5992
14.276,5930
14.296,5644
14.316,5546
14.336,5445
14.356,5205
14.376,5154
14.397,5075
14.417,4959
14.437,5072
14.457,5097
14.477,4936
14.497,4935
14.517,4970
14.537,4958
14.557,4947
14.577,4968
14.597,4920
14.617,4839
14.638,4874
14.658,4972
14.678,4941
14.698,4890
14.718,4859
14.738,4850
14.758,4963
14.778,4912
14.798,4837
14.818,4792
14.838,4884
14.858,4909
14.878,4739
14.899,4833
14.919,4713
14.939,4789
14.959,4801
14.979,4788
14.999,4779
15.019,4859
15.039,4895
15.059,4876
15.079,4893
15.099,4752
15.119,4778
15.139,4744
15.16,4803
15.18,4928
15.2,4694
15.22,4660
15.24,4718
15.26,4698
15.28,4825
15.3,4604
15.32,4760
15.34,4718
15.36,4715
15.38,4757
15.401,4553
15.421,4820
15.441,4799
15.461,4631
15.481,4646
15.501,4716
15.521,4675
15.541,4579
15.561,4707
15.581,4723
15.601,4646
15.621,4678
15.641,4622
15.662,4621
15.682,4686
15.702,4614
15.722,4678
15.742,4676
15.762,4637
15.782,4499
15.802,4714
15.822,4686
15.842,4833
15.862,4798
15.882,4729
15.902,4685
15.923,4685
15.943,4688
15.963,4702
15.983,4647
16.003,4668
16.023,4632
16.043,4455
16.063,4533
16.083,4452
16.103,4399
16.123,4417
16.143,4378
16.164,4352
16.184,4336
16.204,4432
16.224,4549
16.244,4387
16.264,4422
16.284,4448
16.304,4414
16.324,4368
16.344,4366
16.364,4447
16.384,4249
16.404,4381
16.425,4364
16.445,4340
16.465,4476
16.485,4292
16.505,4276
16.525,4231
16.545,4277
16.565,4366
16.585,4316
16.605,4280
16.625,4312
16.645,4288
16.665,4164
16.686,4132
16.706,4105
16.726,4159
16.746,4196
16.766,4293
16.786,4128
16.806,4122
16.826,4156
16.846,4185
16.866,4193
16.886,4072
16.906,4116
16.927,4231
16.947,4157
16.967,4173
16.987,4188
17.007,4150
17.027,4198
17.047,4133
17.067,4205
17.087,4191
17.107,4213
17.127,4106
17.147,4222
17.167,4150
17.188,4282
17.208,4177
17.228,4216
17.248,4214
17.268,4055
17.288,4146
17.308,4248
17.328,4105
17.348,4138
17.368,4167
17.388,4246
17.408,4260
17.428,4204
17.449,4218
17.469,4210
17.489,4168
17.509,4168
17.529,4332
17.549,4268
17.569,4215
17.589,4334
17.609,4250
17.629,4259
17.649,4205
17.669,4204
17.69,4217
17.71,4290
17.73,4196
17.75,4282
17.77,4258
17.79,4232
17.81,4359
17.83,4299
17.85,4483
17.87,4410
17.89,4361
17.91,4417
17.93,4398
17.951,4423
17.971,4495
17.991,4488
18.011,4402
18.031,4470
18.051,4535
18.071,4588
18.091,4568
18.111,4553
18.131,4518
18.151,4671
18.171,4658
18.191,4779
18.212,4736
18.232,4896
18.252,4836
18.272,4969
18.292,5106
18.312,5131
18.332,5252
18.352,5328
18.372,5350
18.392,5417
18.412,5504
18.432,5727
18.453,5951
18.473,5867
18.493,6113
18.513,6378
18.533,6642
18.553,6725
18.573,7192
18.593,7192
18.613,7691
18.633,8119
18.653,8442
18.673,8779
18.693,9145
18.714,9867
18.734,10106
18.754,10559
18.774,10704
18.794,11621
18.814,11893
18.834,12464
18.854,13187
18.874,13200
18.894,13805
18.914,14295
18.934,14264
18.954,15017
18.975,15172
18.995,15370
19.015,15285
19.035,15232
19.055,15188
19.075,15227
19.095,15220
19.115,14907
19.135,14930
19.155,14225
19.175,13673
19.195,13521
19.216,13337
19.236,12446
19.256,12006
19.276,11751
19.296,11138
19.316,10771
19.336,10056
19.356,9596
19.376,9251
19.396,8680
19.416,8429
19.436,7656
19.456,7436
19.477,7108
19.497,6819
19.517,6466
19.537,6292
19.557,5978
19.577,5649
19.597,5578
19.617,5335
19.637,5150
19.657,5056
19.677,4884
19.697,4625
19.717,4547
19.738,4402
19.758,4361
19.778,4217
19.798,4101
19.818,4126
19.838,4016
19.858,4011
19.878,3976
19.898,3967
19.918,4000
19.938,4261
19.958,4562
19.979,4844
19.999,4987
20.019,5566
20.039,6039
20.059,6732
20.079,7141
20.099,7890
20.119,8537
20.139,9112
20.159,9590
20.179,10013
20.199,10213
20.219,10547
20.24,10548
20.26,10237
20.28,10130
20.3,9330
20.32,8778
20.34,8029
20.36,7019
20.38,6509
20.4,5627
20.42,5035
20.44,4557
20.46,3945
20.48,3763
20.501,3466
20.521,3388
20.541,3282
20.561,3132
20.581,3263
20.601,3193
20.621,3122
20.641,3190
20.661,3276
20.681,3195
20.701,3291
20.721,3177
20.742,3231
20.762,3367
20.782,3364
20.802,3425
20.822,3415
20.842,3554
20.862,3580
20.882,3726
20.902,3849
20.922,3984
20.942,4109
20.962,4258
20.982,4368
21.003,4631
21.023,4923
21.043,4897
21.063,5337
21.083,5449
21.103,5689
21.123,5726
21.143,5687
21.163,5906
21.183,6038
21.203,6080
21.223,5914
21.243,5919
21.264,5870
21.284,5790
21.304,5758
21.324,5480
21.344,5134
21.364,5079
21.384,4864
21.404,4777
21.424,4434
21.444,4460
21.464,4309
21.484,4175
21.505,4163
21.525,4158
21.545,4161
21.565,3844
21.585,3800
21.605,3745
21.625,3693
21.645,3676
21.665,3444
21.685,3381
21.705,3452
21.725,3308
21.745,3180
21.766,3168
21.786,3049
21.806,3046
21.826,2954
21.846,3133
21.866,2959
21.886,2868
21.906,2839
21.926,2798
21.946,2908
21.966,2742
21.986,2682
22.006,2677
22.027,2669
22.047,2657
22.067,2629
22.087,2612
22.107,2527
22.127,2520
22.147,2477
22.167,2451
22.187,2494
22.207,2500
22.227,2403
22.247,2381
22.268,2373
22.288,2391
22.308,2310
22.328,2268
22.348,2303
22.368,2244
22.388,2213
22.408,2327
22.428,2285
22.448,2229
22.468,2282
22.488,2274
22.508,2281
22.529,2217
22.549,2284
22.569,2352
22.589,2444
22.609,2476
22.629,2534
22.649,2677
22.669,2655
22.689,2809
22.709,2908
22.729,3102
22.749,3281
22.769,3076
22.79,3143
22.81,3127
22.83,2921
22.85,2902
22.87,2659
22.89,2627
22.91,2463
22.93,2350
22.95,2344
22.97,2283
22.99,2163
23.01,2125
23.03,2084
23.051,2111
23.071,2018
23.091,2003
23.111,2046
23.131,2008
23.151,2062
23.171,2102
23.191,2124
23.211,2027
23.231,2090
23.251,2080
23.271,2059
23.292,2102
23.312,2008
23.332,2022
23.352,1932
23.372,2008
23.392,1914
23.412,1817
23.432,1797
23.452,1889
23.472,1837
23.492,1944
23.512,1784
23.532,1855
23.553,1841
23.573,1862
23.593,1813
23.613,1751
23.633,1794
23.653,1834
23.673,1814
23.693,1836
23.713,1826
23.733,1963
23.753,1914
23.773,2004
23.793,2013
23.814,1982
23.834,2042
23.854,2133
23.874,2083
23.894,2027
23.914,2030
23.934,1977
23.954,2010
23.974,1894
23.994,1942
24.014,1909
24.034,1896
24.055,1809
24.075,1813
24.095,1799
24.115,1765
24.135,1719
24.155,1656
24.175,1718
24.195,1662
24.215,1720
24.235,1670
24.255,1686
24.275,1689
24.295,1671
24.316,1729
24.336,1665
24.356,1653
24.376,1644
24.396,1641
24.416,1612
24.436,1654
24.456,1650
24.476,1596
24.496,1652
24.516,1550
24.536,1591
24.556,1617
24.577,1605
24.597,1563
24.617,1559
24.637,1548
24.657,1508
24.677,1571
24.697,1513
24.717,1496
24.737,1573
24.757,1608
24.777,1494
24.797,1549
24.818,1514
24.838,1530
24.858,1533
24.878,1495
24.898,1539
24.918,1534
24.938,1546
24.958,1512
24.978,1554
24.998,1503
25.018,1494
25.038,1512
25.058,1586
25.079,1529
25.099,1495
25.119,1500
25.139,1474
25.159,1482
25.179,1465
25.199,1526
25.219,1457
25.239,1492
25.259,1474
25.279,1431
25.299,1437
25.319,1440
25.34,1469
25.36,1442
25.38,1404
25.4,1502
25.42,1414
25.44,1393
25.46,1445
25.48,1436
25.5,1353
25.52,1429
25.54,1380
25.56,1391
25.581,1421
25.601,1423
25.621,1372
25.641,1346
25.661,1317
25.681,1356
25.701,1334
25.721,1402
25.741,1325
25.761,1408
25.781,1309
25.801,1343
25.821,1303
25.842,1307
25.862,1313
25.882,1340
25.902,1257
25.922,1295
25.942,1307
25.962,1291
25.982,1349
26.002,1298
26.022,1265
26.042,1340
26.062,1272
26.082,1290
26.103,1338
