X (m/z),Y (Intensity)
1034.22,1.3043478260869545
1038.02,1.1594202898550732
1041.83,1.1594202898550732
1045.63,1.1594202898550732
1049.43,1.449275362318836
1053.23,1.449275362318836
1057.03,1.1594202898550732
1060.84,1.1594202898550732
1064.64,1.1594202898550732
1068.44,1.1594202898550732
1072.24,1.1594202898550732
1076.05,1.1594202898550732
1079.85,1.1594202898550732
1083.65,1.1594202898550732
1087.45,1.1594202898550732
1091.25,1.1594202898550732
1095.06,1.1594202898550732
1098.86,1.1594202898550732
1102.66,1.1594202898550732
1106.46,1.1594202898550732
1110.27,1.449275362318836
1114.07,1.1594202898550732
1117.87,1.1594202898550732
1121.67,1.1594202898550732
1125.48,6.086956521739129
1129.28,6.376811594202902
1133.08,6.666666666666665
1136.88,6.666666666666665
1140.68,4.347826086956519
1144.49,2.0289855072463725
1148.29,2.0289855072463725
1152.09,2.0289855072463725
1155.89,2.0289855072463725
1159.7,1.449275362318836
1163.5,1.449275362318836
1167.3,1.1594202898550732
1171.1,1.1594202898550732
1174.9,1.1594202898550732
1178.71,1.449275362318836
1182.51,1.449275362318836
1186.31,1.449275362318836
1190.11,1.449275362318836
1193.92,1.449275362318836
1197.72,1.449275362318836
1201.52,1.449275362318836
1205.32,1.449275362318836
1209.13,1.449275362318836
1212.93,1.449275362318836
1216.73,1.449275362318836
1220.53,1.449275362318836
1224.33,1.449275362318836
1228.14,1.449275362318836
1231.94,1.449275362318836
1235.74,1.449275362318836
1239.54,1.449275362318836
1243.35,1.449275362318836
1247.15,1.449275362318836
1250.95,1.1594202898550732
1254.75,1.1594202898550732
1258.56,1.1594202898550732
1262.36,1.449275362318836
1266.16,1.449275362318836
1269.96,1.449275362318836
1273.76,1.449275362318836
1277.57,1.449275362318836
1281.37,1.449275362318836
1285.17,1.449275362318836
1288.97,1.449275362318836
1292.78,1.449275362318836
1296.58,1.449275362318836
1300.38,1.449275362318836
1304.18,1.1594202898550732
1307.98,1.449275362318836
1311.79,1.1594202898550732
1315.59,1.449275362318836
1319.39,1.449275362318836
1323.19,1.449275362318836
1327.0,1.449275362318836
1330.8,1.449275362318836
1334.6,1.449275362318836
1338.4,1.449275362318836
1342.21,1.1594202898550732
1346.01,1.1594202898550732
1349.81,1.449275362318836
1353.61,1.449275362318836
1357.41,1.449275362318836
1361.22,1.449275362318836
1365.02,1.449275362318836
1368.82,1.449275362318836
1372.62,1.7391304347826098
1376.43,1.7391304347826098
1380.23,2.0289855072463725
1384.03,1.7391304347826098
1387.83,1.1594202898550732
1391.63,1.1594202898550732
1395.44,1.1594202898550732
1399.24,1.1594202898550732
1403.04,1.1594202898550732
1406.84,1.1594202898550732
1410.65,1.1594202898550732
1414.45,1.1594202898550732
1418.25,1.1594202898550732
1422.05,1.1594202898550732
1425.86,1.1594202898550732
1429.66,1.1594202898550732
1433.46,1.1594202898550732
1437.26,3.7681159420289823
1441.06,4.057971014492756
1444.87,4.057971014492756
1448.67,4.057971014492756
1452.47,4.057971014492756
1456.27,4.057971014492756
1460.08,4.057971014492756
1463.88,21.739130434782606
1467.68,22.31884057971014
1471.48,22.31884057971014
1475.29,22.31884057971014
1479.09,19.130434782608695
1482.89,7.826086956521738
1486.69,4.927536231884055
1490.49,4.927536231884055
1494.3,4.927536231884055
1498.1,4.927536231884055
1501.9,4.927536231884055
1505.7,4.347826086956519
1509.51,2.0289855072463725
1513.31,2.0289855072463725
1517.11,2.0289855072463725
1520.91,2.0289855072463725
1524.71,1.7391304347826098
1528.52,1.449275362318836
1532.32,1.449275362318836
1536.12,1.449275362318836
1539.92,1.449275362318836
1543.73,1.1594202898550732
1547.53,1.1594202898550732
1551.33,1.1594202898550732
1555.13,1.449275362318836
1558.94,2.608695652173909
1562.74,2.608695652173909
1566.54,2.608695652173909
1570.34,3.1884057971014457
1574.14,3.1884057971014457
1577.95,3.1884057971014457
1581.75,3.1884057971014457
1585.55,1.7391304347826098
1589.35,1.7391304347826098
1593.16,1.7391304347826098
1596.96,2.608695652173909
1600.76,3.1884057971014457
1604.56,3.1884057971014457
1608.37,3.1884057971014457
1612.17,2.3188405797101463
1615.97,1.449275362318836
1619.77,1.449275362318836
1623.57,1.7391304347826098
1627.38,1.7391304347826098
1631.18,1.7391304347826098
1634.98,1.7391304347826098
1638.78,1.7391304347826098
1642.59,1.449275362318836
1646.39,1.449275362318836
1650.19,1.449275362318836
1653.99,1.449275362318836
1657.79,1.449275362318836
1661.6,3.4782608695652195
1665.4,3.4782608695652195
1669.2,3.4782608695652195
1673.0,2.898550724637683
1676.81,1.449275362318836
1680.61,1.449275362318836
1684.41,1.449275362318836
1688.21,1.449275362318836
1692.02,1.449275362318836
1695.82,1.449275362318836
1699.62,1.449275362318836
1703.42,1.7391304347826098
1707.22,2.3188405797101463
1711.03,2.3188405797101463
1714.83,2.0289855072463725
1718.63,2.0289855072463725
1722.43,1.7391304347826098
1726.24,1.449275362318836
1730.04,1.449275362318836
1733.84,1.449275362318836
1737.64,1.449275362318836
1741.44,1.1594202898550732
1745.25,1.1594202898550732
1749.05,1.449275362318836
1752.85,1.449275362318836
1756.65,1.7391304347826098
1760.46,1.7391304347826098
1764.26,1.7391304347826098
1768.06,1.7391304347826098
1771.86,1.7391304347826098
