X (m/z),Y (Intensity)
176.54,5.21739130434783
184.57,5.507246376811592
192.59,5.797101449275366
200.62,6.086956521739129
208.64,6.086956521739129
216.67,6.376811594202902
224.69,7.536231884057976
232.72,7.536231884057976
240.74,7.826086956521738
248.77,7.826086956521738
256.79,8.115942028985511
264.81,8.405797101449275
272.84,8.985507246376812
280.86,9.275362318840575
288.89,9.275362318840575
296.91,9.275362318840575
304.94,12.753623188405793
312.96,13.623188405797105
320.99,16.231884057971012
329.01,16.231884057971012
337.04,16.231884057971012
345.06,17.101449275362324
353.09,17.101449275362324
361.11,17.101449275362324
369.14,16.52173913043479
377.16,14.492753623188403
385.19,14.492753623188403
393.21,14.492753623188403
401.23,14.492753623188403
409.26,13.913043478260867
417.28,13.913043478260867
425.31,14.20289855072464
433.33,14.782608695652177
441.36,14.782608695652177
449.38,14.492753623188403
457.41,14.492753623188403
465.43,14.492753623188403
473.46,14.492753623188403
481.48,15.362318840579714
489.51,16.231884057971012
497.53,16.52173913043479
505.56,16.52173913043479
513.58,17.68115942028986
521.6,17.68115942028986
529.63,17.391304347826086
537.65,17.101449275362324
545.68,17.101449275362324
553.7,17.101449275362324
561.73,17.971014492753625
569.75,18.260869565217387
577.78,18.840579710144922
585.8,18.840579710144922
593.83,18.840579710144922
601.85,18.840579710144922
609.88,18.840579710144922
617.9,18.840579710144922
625.93,18.840579710144922
633.95,19.420289855072458
641.98,19.420289855072458
650.0,19.420289855072458
658.02,19.420289855072458
666.05,19.420289855072458
674.07,19.710144927536234
682.1,19.710144927536234
690.12,19.710144927536234
698.15,19.710144927536234
706.17,19.710144927536234
714.2,19.999999999999996
722.22,20.57971014492753
730.25,20.57971014492753
738.27,20.28985507246377
746.3,19.999999999999996
754.32,19.710144927536234
762.35,19.710144927536234
770.37,20.28985507246377
778.4,20.28985507246377
786.42,20.28985507246377
794.44,19.999999999999996
802.47,19.999999999999996
810.49,20.57971014492753
818.52,20.869565217391305
826.54,20.869565217391305
834.57,20.57971014492753
842.59,20.57971014492753
850.62,20.57971014492753
858.64,20.57971014492753
866.67,21.15942028985507
874.69,21.15942028985507
882.72,19.999999999999996
890.74,19.420289855072458
898.77,19.420289855072458
906.79,19.130434782608695
914.81,19.130434782608695
922.84,20.28985507246377
930.86,20.28985507246377
