Wavenumber [cm-1],Raman Intensity
990.55,16940.01
992.74,16923.83
994.93,16903.39
997.12,16881.93
999.3,16857.17
1001.49,16830.53
1003.67,16809.16
1005.86,16787.99
1008.04,16766.84
1010.22,16745.07
1012.41,16727.36
1014.59,16713.73
1016.77,16699.98
1018.95,16686.93
1021.12,16672.77
1023.3,16663.48
1025.48,16645.44
1027.66,16632.73
1029.83,16614.65
1032.01,16596.16
1034.18,16574.21
1036.35,16550.72
1038.52,16513.79
1040.7,16466.84
1042.87,16406.48
1045.04,16334.59
1047.2,16257.47
1049.37,16179.67
1051.54,16109.52
1053.71,16054.21
1055.87,16010.66
1058.04,15976.8
1060.2,15951.12
1062.36,15930.53
1064.53,15910.2
1066.69,15890.7
1068.85,15874.8
1071.01,15841.94
1073.17,15812.93
1075.33,15780.33
1077.49,15755.55
1079.64,15727.11
1081.8,15704.74
1083.95,15685.41
1086.11,15656.73
1088.26,15630.41
1090.42,15598.14
1092.57,15562.41
1094.72,15525.11
1096.87,15486.37
1099.02,15447.22
1101.17,15410.11
1103.32,15366.13
1105.47,15332
1107.61,15297.58
1109.76,15268.28
1111.9,15235.69
1114.05,15206.5
1116.19,15176.53
1118.33,15148.13
1120.47,15119.03
1122.62,15088.14
1124.76,15056.11
1126.9,15027.13
1129.03,15000.22
1131.17,14971.9
1133.31,14946.93
1135.45,14911.16
1137.58,14880.71
1139.72,14850.11
1141.85,14812.82
1143.98,14776.89
1146.12,14745.85
1148.25,14713.9
1150.38,14683.77
1152.51,14655.59
1154.64,14630.09
1156.77,14606.98
1158.89,14594.13
1161.02,14584.05
1163.15,14575.89
1165.27,14560.28
1167.4,14549.13
1169.52,14531.24
1171.64,14515.89
1173.76,14514.15
1175.88,14514.4
1178.01,14520.33
1180.13,14539.17
1182.24,14561.61
1184.36,14588.74
1186.48,14620.54
1188.6,14654.97
1190.71,14697.69
1192.83,14737
1194.94,14776.94
1197.05,14813.51
1199.17,14847.32
1201.28,14885.16
1203.39,14921.27
1205.5,14955.28
1207.61,14989.17
1209.72,15023.62
1211.82,15053.25
1213.93,15086.61
1216.04,15117.37
1218.14,15147.8
1220.25,15177.8
1222.35,15215.03
1224.45,15245.41
1226.56,15275.37
1228.66,15307.33
1230.76,15342.81
1232.86,15371.24
1234.96,15404.86
1237.06,15431.65
1239.15,15456.11
1241.25,15479.53
1243.35,15498.37
1245.44,15511.68
1247.54,15515.8
1249.63,15516.74
1251.72,15521.33
1253.81,15523.5
1255.91,15533.43
1258,15540.98
1260.09,15547.64
1262.17,15556.08
1264.26,15566.75
1266.35,15570.63
1268.44,15573.84
1270.52,15579.02
1272.61,15583.57
1274.69,15582.73
1276.77,15581.85
1278.86,15575.59
1280.94,15566.95
1283.02,15557.76
1285.1,15549.64
1287.18,15537.85
1289.26,15528.07
1291.34,15520.49
1293.41,15513.55
1295.49,15507.46
1297.56,15502.34
1299.64,15494.16
1301.71,15483.01
1303.79,15470.37
1305.86,15448.34
1307.93,15419.75
1310,15396.99
1312.07,15365.44
1314.14,15328.59
1316.21,15284.82
1318.28,15239.8
1320.34,15185.93
1322.41,15136.89
1324.47,15085.63
1326.54,15030.39
1328.6,14974.17
1330.66,14915.37
1332.73,14860.93
1334.79,14807.47
1336.85,14754.21
1338.91,14695.96
1340.97,14639.16
1343.03,14581.56
1345.08,14519.64
1347.14,14457.53
1349.19,14394.78
1351.25,14330.25
1353.3,14266.56
1355.36,14202.8
1357.41,14131.62
1359.46,14060.76
1361.51,13988.54
1363.56,13917.61
1365.61,13846.24
1367.66,13780.69
1369.71,13714.66
1371.76,13647.98
1373.8,13580.23
1375.85,13514.51
1377.89,13448.94
1379.94,13387.27
1381.98,13328.65
1384.02,13272.05
1386.07,13233.89
1388.11,13191.31
1390.15,13163.02
1392.19,13147.9
1394.22,13142.11
1396.26,13156.11
1398.3,13185.24
1400.34,13225.01
1402.37,13275.61
1404.41,13334.45
1406.44,13396.61
1408.47,13459.13
1410.51,13521.58
1412.54,13578.35
1414.57,13638.07
1416.6,13693.18
1418.63,13743.24
1420.66,13784.01
1422.68,13820.39
1424.71,13843.93
1426.74,13857.23
1428.76,13861.46
1430.79,13854.36
1432.81,13838.02
1434.83,13806.44
1436.85,13767.36
1438.88,13720.76
1440.9,13672.54
1442.92,13616.93
1444.94,13553.74
1446.95,13489.69
1448.97,13425.23
1450.99,13352.06
1453,13277.54
1455.02,13206.33
1457.03,13132.36
1459.05,13051.77
1461.06,12972.57
1463.07,12888.85
1465.08,12799.88
1467.09,12709.54
1469.1,12605.49
1471.11,12506.22
1473.12,12403.12
1475.13,12294.75
1477.13,12177.04
1479.14,12048.03
1481.15,11906.55
1483.15,11764.78
1485.15,11614.72
1487.16,11464
1489.16,11307.33
1491.16,11150.15
1493.16,11000.94
1495.16,10855.82
1497.16,10713.94
1499.16,10576.42
1501.15,10446.93
1503.15,10327.52
1505.15,10216.28
1507.14,10116.06
1509.14,10026.39
1511.13,9947.07
1513.12,9876.41
1515.11,9815.41
1517.1,9765.74
1519.09,9721.96
1521.08,9681.7
1523.07,9644.07
1525.06,9612.21
1527.05,9587.14
1529.03,9558.16
1531.02,9536.61
1533.01,9518.5
1534.99,9500.24
1536.97,9483.36
1538.96,9471.17
1540.94,9462.63
1542.92,9455.69
1544.9,9444.08
1546.88,9440.67
1548.86,9434.04
1550.84,9429.02
1552.81,9426.69
1554.79,9426.25
1556.76,9425.73
1558.74,9427.63
1560.71,9439.85
1562.69,9451.33
1564.66,9464.17
1566.63,9476.33
1568.6,9483.28
1570.57,9497.09
1572.54,9510.76
1574.51,9518.88
1576.48,9526.02
1578.45,9530.49
1580.41,9532.15
1582.38,9527.83
1584.34,9523.63
1586.31,9518.57
1588.27,9513.87
1590.23,9509.32
1592.19,9508.98
1594.16,9510.4
1596.12,9516.87
1598.07,9523.04
1600.03,9537.23
1601.99,9555.52
1603.95,9581.28
1605.9,9614.55
1607.86,9649.14
1609.82,9692.93
1611.77,9737.65
1613.72,9784.16
1615.68,9841.48
1617.63,9895.09
1619.58,9947.31
1621.53,10002.24
1623.48,10052.28
1625.43,10108.49
1627.37,10161.23
1629.32,10212.81
1631.27,10262.79
1633.21,10309.46
1635.16,10346.08
1637.1,10378.33
1639.05,10404.08
1640.99,10416.15
1642.93,10425.67
1644.87,10424.96
1646.81,10422.09
1648.75,10414.13
1650.69,10396.6
1652.63,10380.85
1654.56,10358.44
