Wavenumber [cm-1],Raman Intensity
992.74,18123.98
994.93,18096.76
997.12,18068.09
999.3,18040.19
1001.49,18016
1003.67,17989.98
1005.86,17968.46
1008.04,17946.67
1010.22,17925.13
1012.41,17899.29
1014.59,17870.76
1016.77,17842.56
1018.95,17816.85
1021.12,17794.17
1023.3,17771.83
1025.48,17750.92
1027.66,17729.32
1029.83,17707.22
1032.01,17683.46
1034.18,17656.41
1036.35,17629.7
1038.52,17604.11
1040.7,17579.59
1042.87,17557.57
1045.04,17533.13
1047.2,17510.25
1049.37,17489.76
1051.54,17464.52
1053.71,17437.79
1055.87,17409.15
1058.04,17382.88
1060.2,17356.34
1062.36,17329.66
1064.53,17306.85
1066.69,17282.4
1068.85,17259.5
1071.01,17234.98
1073.17,17205.92
1075.33,17177.28
1077.49,17147.89
1079.64,17120.38
1081.8,17094.34
1083.95,17067.75
1086.11,17044.33
1088.26,17019.59
1090.42,16992.33
1092.57,16966.58
1094.72,16940.03
1096.87,16912.35
1099.02,16883.95
1101.17,16857.94
1103.32,16833.56
1105.47,16810.67
1107.61,16785.25
1109.76,16759.76
1111.9,16734.42
1114.05,16709.17
1116.19,16684.07
1118.33,16658.33
1120.47,16632.59
1122.62,16607.93
1124.76,16584.44
1126.9,16559.48
1129.03,16537.32
1131.17,16512.61
1133.31,16489.28
1135.45,16466.33
1137.58,16440.14
1139.72,16415.62
1141.85,16393.72
1143.98,16371.11
1146.12,16349.05
1148.25,16327.98
1150.38,16304.76
1152.51,16282.69
1154.64,16262.61
1156.77,16241.61
1158.89,16220.07
1161.02,16200.07
1163.15,16180.9
1165.27,16162.41
1167.4,16141.42
1169.52,16122.69
1171.64,16104.88
1173.76,16084.82
1175.88,16064.76
1178.01,16044.8
1180.13,16025.98
1182.24,16008.19
1184.36,15988.15
1186.48,15970.76
1188.6,15952.07
1190.71,15933.37
1192.83,15913.47
1194.94,15895.65
1197.05,15876.63
1199.17,15858.54
1201.28,15840.53
1203.39,15823.8
1205.5,15806.44
1207.61,15791.15
1209.72,15774.85
1211.82,15757.27
1213.93,15737.54
1216.04,15717.29
1218.14,15698.33
1220.25,15680.31
1222.35,15661.28
1224.45,15645.26
1226.56,15628.33
1228.66,15608.59
1230.76,15588.81
1232.86,15571.14
1234.96,15549.89
1237.06,15529.05
1239.15,15506.91
1241.25,15486.07
1243.35,15465.85
1245.44,15445.53
1247.54,15426.82
1249.63,15407.84
1251.72,15389.52
1253.81,15373.8
1255.91,15353.41
1258,15331.75
1260.09,15310.98
1262.17,15290.23
1264.26,15270.63
1266.35,15250.67
1268.44,15229.02
1270.52,15208.95
1272.61,15188.33
1274.69,15167.7
1276.77,15146.15
1278.86,15125.37
1280.94,15103.65
1283.02,15082.46
1285.1,15058.19
1287.18,15034.9
1289.26,15010.96
1291.34,14988.51
1293.41,14965
1295.49,14942.35
1297.56,14921.97
1299.64,14902.7
1301.71,14882.33
1303.79,14857.6
1305.86,14834.64
1307.93,14811.12
1310,14785.75
1312.07,14760.59
1314.14,14737.94
1316.21,14716.2
1318.28,14691.69
1320.34,14670.05
1322.41,14647.03
1324.47,14623.68
1326.54,14598.28
1328.6,14574.28
1330.66,14550.96
1332.73,14526.33
1334.79,14500.7
1336.85,14476.2
1338.91,14451.76
1340.97,14428.91
1343.03,14406.9
1345.08,14384.15
1347.14,14362.11
1349.19,14339.24
1351.25,14315.96
1353.3,14292.91
1355.36,14269.37
1357.41,14246.51
1359.46,14222.05
1361.51,14197.22
1363.56,14172.69
1365.61,14148.01
1367.66,14121.76
1369.71,14097.87
