Wavenumber [cm-1],Raman Intensity
992.74,28783.75
994.93,28725.88
997.12,28664.56
999.3,28599.01
1001.49,28532.4
1003.67,28470.95
1005.86,28409.17
1008.04,28345.47
1010.22,28280.28
1012.41,28220.49
1014.59,28166.37
1016.77,28115.5
1018.95,28068.04
1021.12,28024.55
1023.3,27989.55
1025.48,27950.88
1027.66,27917.1
1029.83,27879.28
1032.01,27842.04
1034.18,27802.31
1036.35,27754.64
1038.52,27690.71
1040.7,27617.73
1042.87,27531.48
1045.04,27437.14
1047.2,27341.37
1049.37,27246.75
1051.54,27163.16
1053.71,27092.86
1055.87,27029.46
1058.04,26970.5
1060.2,26912.32
1062.36,26853.88
1064.53,26791.42
1066.69,26724.71
1068.85,26658.55
1071.01,26576.09
1073.17,26498.83
1075.33,26418.69
1077.49,26343.18
1079.64,26264.69
1081.8,26193.06
1083.95,26127.95
1086.11,26058.66
1088.26,25997.25
1090.42,25931.54
1092.57,25865.98
1094.72,25802.73
1096.87,25737.69
1099.02,25672.78
1101.17,25604.28
1103.32,25528.96
1105.47,25458.3
1107.61,25383.67
1109.76,25312.1
1111.9,25238.33
1114.05,25163.01
1116.19,25087.85
1118.33,25013.76
1120.47,24938.45
1122.62,24859.99
1124.76,24784.33
1126.9,24709.59
1129.03,24636.03
1131.17,24565.69
1133.31,24501.14
1135.45,24433.65
1137.58,24375.8
1139.72,24322.38
1141.85,24266.67
1143.98,24214.27
1146.12,24167.83
1148.25,24123.2
1150.38,24080.3
1152.51,24036.77
1154.64,23994.24
1156.77,23952.78
1158.89,23918.95
1161.02,23883.45
1163.15,23851.47
1165.27,23813.54
1167.4,23780.54
1169.52,23741.78
1171.64,23703.66
1173.76,23673.06
1175.88,23639.67
1178.01,23606.59
1180.13,23580.19
1182.24,23547.58
1184.36,23516
1186.48,23482.93
1188.6,23453.74
1190.71,23427.77
1192.83,23400.18
1194.94,23377.66
1197.05,23351.52
1199.17,23326.27
1201.28,23310.64
1203.39,23298.27
1205.5,23293.45
1207.61,23295.14
1209.72,23306.83
1211.82,23324.35
1213.93,23352.79
1216.04,23383.11
1218.14,23417.85
1220.25,23455.27
1222.35,23497.34
1224.45,23532.13
1226.56,23558.78
1228.66,23582.56
1230.76,23603.38
1232.86,23612.85
1234.96,23621.84
1237.06,23621.36
1239.15,23615.76
1241.25,23611.74
1243.35,23603.24
1245.44,23593.12
1247.54,23585.74
1249.63,23576.02
1251.72,23574.19
1253.81,23575.62
1255.91,23584.54
1258,23590.61
1260.09,23599.56
1262.17,23605.46
1264.26,23612.13
1266.35,23604.98
1268.44,23595.98
1270.52,23586.65
1272.61,23573.33
1274.69,23547.46
1276.77,23525.26
1278.86,23491.07
1280.94,23450.4
1283.02,23404.74
1285.1,23355.64
1287.18,23295.24
1289.26,23230.88
1291.34,23157.41
1293.41,23077.89
1295.49,22987.59
1297.56,22893.43
1299.64,22790.7
1301.71,22681.49
1303.79,22571.79
1305.86,22454.72
1307.93,22332.22
1310,22220.97
1312.07,22110.93
1314.14,22004.51
1316.21,21900.67
1318.28,21804.58
1320.34,21707.85
1322.41,21621.41
1324.47,21541.54
1326.54,21458.72
1328.6,21379.6
1330.66,21299.9
1332.73,21216.71
1334.79,21134.08
1336.85,21046.85
1338.91,20954.64
1340.97,20864.8
1343.03,20772.92
1345.08,20675.8
1347.14,20582.95
1349.19,20496.26
1351.25,20419.5
1353.3,20349.77
1355.36,20286.18
1357.41,20221.66
1359.46,20160.4
1361.51,20098.72
1363.56,20041.46
1365.61,19986.63
1367.66,19940.78
1369.71,19896.33
1371.76,19854.02
1373.8,19815.14
1375.85,19780.69
1377.89,19748.41
1379.94,19725.88
1381.98,19704.03
1384.02,19689.72
1386.07,19701.11
1388.11,19707.01
1390.15,19725.19
1392.19,19758.31
1394.22,19794.36
1396.26,19842.85
1398.3,19897.66
1400.34,19951.77
1402.37,20002.72
1404.41,20052.33
1406.44,20096.64
1408.47,20135.15
1410.51,20170.36
1412.54,20192.73
1414.57,20215.33
1416.6,20233.85
1418.63,20244.95
1420.66,20250.84
1422.68,20251.14
1424.71,20240.39
1426.74,20224.87
1428.76,20207.34
1430.79,20189.86
1432.81,20165.3
1434.83,20132.09
1436.85,20096.58
1438.88,20055.62
1440.9,20016.5
1442.92,19977.46
1444.94,19934.63
1446.95,19892.44
1448.97,19849.56
1450.99,19799.58
1453,19746.61
1455.02,19699.35
1457.03,19645.82
1459.05,19587.66
1461.06,19528.92
1463.07,19463.98
1465.08,19393.98
1467.09,19317.1
1469.1,19216.98
1471.11,19117.41
1473.12,19012.07
1475.13,18893.5
1477.13,18769.18
1479.14,18636.66
1481.15,18499.25
1483.15,18366.12
1485.15,18235.89
1487.16,18109.67
1489.16,17983.67
1491.16,17860.96
1493.16,17747.77
1495.16,17640.48
1497.16,17536.06
1499.16,17433.68
1501.15,17342.2
1503.15,17258.26
1505.15,17178.69
1507.14,17105.92
1509.14,17038.62
1511.13,16974.9
1513.12,16914.03
1515.11,16857.82
1517.1,16807.97
1519.09,16759.78
1521.08,16712.82
1523.07,16665.68
1525.06,16622.45
1527.05,16583.26
1529.03,16537.42
1531.02,16499.8
1533.01,16465.16
1534.99,16428.81
1536.97,16392.51
1538.96,16361.55
1540.94,16331.24
1542.92,16302.72
1544.9,16269.92
1546.88,16242.32
1548.86,16212.11
1550.84,16183.26
1552.81,16155.63
1554.79,16130.67
1556.76,16109.02
1558.74,16090.12
1560.71,16077.89
1562.69,16059.59
1564.66,16040.89
1566.63,16018.37
1568.6,15989.75
1570.57,15964.56
1572.54,15938.2
1574.51,15905.49
1576.48,15877.21
1578.45,15848.53
1580.41,15821.08
1582.38,15787.04
1584.34,15754.5
1586.31,15723.77
1588.27,15693.79
1590.23,15665.57
1592.19,15644.49
1594.16,15619.56
1596.12,15602.98
1598.07,15583.82
1600.03,15575.87
1601.99,15574.19
1603.95,15584.58
1605.9,15611.07
1607.86,15649.51
1609.82,15709.28
1611.77,15778.93
1613.72,15856.8
1615.68,15947.54
1617.63,16029.37
1619.58,16097.11
1621.53,16154.78
1623.48,16189.59
1625.43,16213.76
1627.37,16219.03
1629.32,16211.11
1631.27,16196.38
1633.21,16171.96
1635.16,16134.72
1637.1,16094.08
1639.05,16046.5
1640.99,15990.74
1642.93,15938.81
1644.87,15886.07
1646.81,15839.01
1648.75,15795.48
1650.69,15749.89
1652.63,15711.04
1654.56,15673.89
1656.5,15633.67
1658.44,15592.84
1660.37,15552.11
1662.31,15518.17
1664.24,15480.79
1666.17,15439.21
1668.1,15397.07
1670.03,15352.66
1671.96,15300.98
1673.89,15252.8
1675.82,15193.23
1677.75,15136.33
1679.68,15070.92
1681.6,14994.73
1683.53,14910.52
1685.46,14814.22
1687.38,14700.95
1689.3,14578.02
1691.23,14440.59
1693.15,14293.11
1695.07,14136.01
1696.99,13991.38
1698.91,13858.2
1700.83,13738.12
1702.75,13635.68
1704.66,13550.5
1706.58,13477.85
1708.5,13418.41
1710.41,13360.47
1712.32,13314.61
1714.24,13270.26
1716.15,13223.34
1718.06,13177.75
1719.97,13134.59
1721.88,13092.74
1723.79,13048.08
1725.7,13002.66
1727.61,12961.96
1729.52,12923.29
1731.43,12883.93
1733.33,12840.52
1735.24,12801.71
1737.14,12763.44
1739.04,12726.73
1740.95,12687.28
1742.85,12649.73
1744.75,12618.11
