Wavenumber [cm-1],Raman Intensity
990.55,6389.54
992.74,6380.39
994.93,6371.03
997.12,6362.11
999.3,6354.3
1001.49,6347.83
1003.67,6341.33
1005.86,6336.01
1008.04,6333.2
1010.22,6327.75
1012.41,6321.26
1014.59,6314.81
1016.77,6311.22
1018.95,6308.72
1021.12,6309.07
1023.3,6310.76
1025.48,6311.12
1027.66,6313.12
1029.83,6314.68
1032.01,6317.46
1034.18,6321.72
1036.35,6329.12
1038.52,6338.02
1040.7,6346.31
1042.87,6354.68
1045.04,6361.63
1047.2,6364.54
1049.37,6364.14
1051.54,6363.13
1053.71,6358.49
1055.87,6353.93
1058.04,6349.11
1060.2,6344.86
1062.36,6339.47
1064.53,6333.76
1066.69,6327.34
1068.85,6319.87
1071.01,6313.01
1073.17,6304.07
1075.33,6294.8
1077.49,6286.94
1079.64,6279.43
1081.8,6273.02
1083.95,6264.66
1086.11,6256.03
1088.26,6247.49
1090.42,6238.06
1092.57,6228.11
1094.72,6218.37
1096.87,6205.86
1099.02,6196.28
1101.17,6184.84
1103.32,6174.27
1105.47,6162.57
1107.61,6149.64
1109.76,6135.79
1111.9,6120.39
1114.05,6104.77
1116.19,6087.19
1118.33,6069.22
1120.47,6049.29
1122.62,6027.68
1124.76,6004.92
1126.9,5981.37
1129.03,5957.09
1131.17,5932.85
1133.31,5909.01
1135.45,5890.04
1137.58,5874.67
1139.72,5860.18
1141.85,5850.82
1143.98,5838.71
1146.12,5828.42
1148.25,5819.39
1150.38,5810.95
1152.51,5803.64
1154.64,5796.76
1156.77,5789.98
1158.89,5782.93
1161.02,5776.66
1163.15,5769.75
1165.27,5764.93
1167.4,5759.28
1169.52,5754.82
1171.64,5750.47
1173.76,5745.45
1175.88,5740.93
1178.01,5736.07
1180.13,5731.3
1182.24,5727.87
1184.36,5723.59
1186.48,5717.76
1188.6,5714.87
1190.71,5711.23
1192.83,5705.91
1194.94,5700.81
1197.05,5695.02
1199.17,5691.41
1201.28,5688.18
1203.39,5685.33
1205.5,5682.11
1207.61,5679.22
1209.72,5675.44
1211.82,5671.33
1213.93,5664.9
1216.04,5660.33
1218.14,5655.41
1220.25,5650.47
1222.35,5645.54
1224.45,5639.97
1226.56,5633.36
1228.66,5624.87
1230.76,5618.41
1232.86,5611.88
1234.96,5605.32
1237.06,5599.21
1239.15,5592.72
1241.25,5584.89
1243.35,5578.16
1245.44,5571.39
1247.54,5566.11
1249.63,5560.98
1251.72,5554.05
1253.81,5548.02
1255.91,5540.43
1258,5533.64
1260.09,5526.87
1262.17,5520.41
1264.26,5515.48
1266.35,5511.06
