Wavenumber [cm-1],Raman Intensity
988.36,21457.43
990.55,21470.32
992.74,21480.45
994.93,21488.72
997.12,21502.4
999.3,21519.96
1001.49,21539.17
1003.67,21563.93
1005.86,21589.48
1008.04,21608.95
1010.22,21625.52
1012.41,21645.48
1014.59,21670.65
1016.77,21702.98
1018.95,21744.2
1021.12,21787.52
1023.3,21836.49
1025.48,21878.05
1027.66,21920.07
1029.83,21956.67
1032.01,21995.63
1034.18,22035.37
1036.35,22083.33
1038.52,22130.54
1040.7,22177.89
1042.87,22223.96
1045.04,22263.28
1047.2,22298.17
1049.37,22324.33
1051.54,22350.05
1053.71,22375.06
1055.87,22395.64
1058.04,22417.93
1060.2,22438.47
1062.36,22459.38
1064.53,22469.6
1066.69,22474.84
1068.85,22479.05
1071.01,22467.35
1073.17,22462.8
1075.33,22457.03
1077.49,22453.75
1079.64,22446.28
1081.8,22438.03
1083.95,22435.28
1086.11,22422.54
1088.26,22407.54
1090.42,22385.98
1092.57,22367.38
1094.72,22343.58
1096.87,22319.81
1099.02,22295.35
1101.17,22267.82
1103.32,22229.58
1105.47,22190.07
1107.61,22139.11
1109.76,22088.93
1111.9,22030.54
1114.05,21969.59
1116.19,21908.53
1118.33,21847.48
1120.47,21786.76
1122.62,21719.98
1124.76,21648.09
1126.9,21575.33
1129.03,21500.63
1131.17,21422.08
1133.31,21348.06
1135.45,21264.32
1137.58,21188.04
1139.72,21110.2
1141.85,21027.96
1143.98,20948.52
1146.12,20872.69
1148.25,20794.8
1150.38,20721.24
1152.51,20648.68
1154.64,20577.76
1156.77,20508.47
1158.89,20446.24
1161.02,20383.35
1163.15,20322.31
1165.27,20257.61
1167.4,20196.53
1169.52,20133.23
1171.64,20067.35
1173.76,20010.57
1175.88,19954.63
1178.01,19901.67
1180.13,19850.98
1182.24,19800.67
1184.36,19749.2
1186.48,19696.72
1188.6,19651.33
1190.71,19614.35
1192.83,19575.33
1194.94,19546.94
1197.05,19515.15
1199.17,19485.41
1201.28,19461.4
1203.39,19436.91
1205.5,19417.3
1207.61,19395.43
1209.72,19379.75
1211.82,19365.73
1213.93,19359.18
1216.04,19354.99
1218.14,19354.09
1220.25,19357.37
1222.35,19367.73
1224.45,19372.47
1226.56,19376.63
1228.66,19382.78
1230.76,19391.29
1232.86,19396.37
1234.96,19408.98
1237.06,19414.01
1239.15,19423.09
1241.25,19434.02
1243.35,19449.36
1245.44,19461.36
1247.54,19471.62
1249.63,19479.75
1251.72,19489.47
1253.81,19496.15
1255.91,19504.93
1258,19512.03
1260.09,19519.98
1262.17,19527.93
1264.26,19535.8
1266.35,19538.26
1268.44,19538.28
1270.52,19543.4
1272.61,19552.66
1274.69,19550.32
1276.77,19552.18
1278.86,19553.76
1280.94,19554.24
1283.02,19557.24
1285.1,19564.8
1287.18,19570.28
1289.26,19578.75
1291.34,19587.17
1293.41,19600.24
