X (RT/min),Y (Intensity)
10.99,60696.09507640079
11.0,63030.56027164683
11.01,65365.02546689287
11.02,65365.02546689287
11.03,65365.02546689287
11.05,107385.3989813244
11.06,123726.65534804761
11.07,128395.58573854016
11.08,128395.58573854016
11.09,128395.58573854016
11.11,128395.58573854016
11.12,128395.58573854016
11.13,123726.65534804761
11.14,91044.14261460118
11.15,74702.88624787796
11.17,74702.88624787796
11.18,77037.351443124
11.19,79371.81663837004
11.2,81706.28183361609
11.21,79371.81663837004
11.22,79371.81663837004
11.24,72368.42105263146
11.25,67699.49066213891
11.26,65365.02546689287
11.27,63030.56027164683
11.28,58361.629881154746
11.3,58361.629881154746
11.31,63030.56027164683
11.32,77037.351443124
11.33,100382.00339558581
11.34,196095.07640067907
11.36,457555.1782682515
11.37,513582.3429541597
11.38,515916.80814940576
11.39,518251.2733446518
11.4,518251.2733446518
11.41,515916.80814940576
11.43,583616.2988115451
11.44,1314303.9049235994
11.45,1606112.0543293718
11.46,2108022.0713073006
11.47,2110356.5365025466
11.49,2112691.0016977927
11.5,2112691.0016977927
11.51,2112691.0016977927
11.52,2110356.5365025466
11.53,2002971.1375212222
11.55,604626.4855687609
11.56,224108.65874363342
11.57,70033.95585738542
11.58,58361.629881154746
11.59,58361.629881154746
11.61,60696.09507640079
11.62,72368.42105263146
11.63,88709.67741935467
11.64,91044.14261460118
11.65,93378.60780984722
11.66,93378.60780984722
11.68,93378.60780984722
11.69,91044.14261460118
11.7,91044.14261460118
11.71,88709.67741935467
11.72,79371.81663837004
11.74,191426.14601018652
11.75,191426.14601018652
11.76,191426.14601018652
11.77,191426.14601018652
11.78,191426.14601018652
11.8,191426.14601018652
11.81,189091.68081494048
11.82,186757.21561969444
11.83,191426.14601018652
11.84,191426.14601018652
11.85,191426.14601018652
11.87,193760.61120543303
11.88,191426.14601018652
11.89,184422.7504244484
11.9,133064.51612903224
11.91,88709.67741935467
11.93,77037.351443124
11.94,72368.42105263146
11.95,67699.49066213891
11.96,63030.56027164683
11.97,63030.56027164683
11.99,217105.26315789483
12.0,406196.9439728353
12.01,831069.6095076399
12.02,1566426.1460101868
12.03,1587436.3327674023
12.05,1589770.7979626486
12.06,1592105.2631578948
12.07,1592105.2631578948
12.08,1589770.7979626486
12.09,1587436.3327674023
12.1,1580432.9371816637
12.12,639643.4634974534
12.13,364176.57045840425
12.14,102716.46859083185
12.15,51358.23429541569
12.16,46689.30390492361
12.18,42020.37351443153
12.19,39685.90831918502
12.2,39685.90831918502
12.21,39685.90831918502
12.22,39685.90831918502
12.24,39685.90831918502
12.25,39685.90831918502
12.26,39685.90831918502
12.27,37351.44312393898
12.28,37351.44312393898
12.29,37351.44312393898
12.31,37351.44312393898
12.32,37351.44312393898
12.33,37351.44312393898
12.34,37351.44312393898
12.35,39685.90831918502
12.37,42020.37351443153
12.38,74702.88624787796
12.39,79371.81663837004
12.4,81706.28183361609
12.41,81706.28183361609
12.43,81706.28183361609
12.44,81706.28183361609
12.45,81706.28183361609
12.46,79371.81663837004
12.47,56027.16468590824
12.49,56027.16468590824
12.5,56027.16468590824
12.51,53692.6994906622
12.52,53692.6994906622
12.53,53692.6994906622
12.54,53692.6994906622
12.56,51358.23429541569
12.57,49023.76910016965
12.58,46689.30390492361
12.59,46689.30390492361
12.6,46689.30390492361
12.62,49023.76910016965
12.63,63030.56027164683
12.64,65365.02546689287
12.65,65365.02546689287
12.66,65365.02546689287
12.68,63030.56027164683
12.69,60696.09507640079
12.7,53692.6994906622
12.71,51358.23429541569
12.72,63030.56027164683
12.73,72368.42105263146
12.75,74702.88624787796
12.76,77037.351443124
12.77,77037.351443124
12.78,77037.351443124
12.79,77037.351443124
12.81,88709.67741935467
12.82,100382.00339558581
12.83,102716.46859083185
12.84,105050.93378607789
12.85,105050.93378607789
12.87,102716.46859083185
12.88,102716.46859083185
12.89,100382.00339558581
12.9,98047.53820033977
12.91,53692.6994906622
12.93,46689.30390492361
12.94,46689.30390492361
12.95,88709.67741935467
12.96,154074.702886248
12.97,172750.42444821727
12.98,172750.42444821727
13.0,175084.8896434633
13.01,175084.8896434633
13.02,175084.8896434633
13.03,172750.42444821727
13.04,165747.02886247868
13.06,112054.32937181694
13.07,77037.351443124
13.08,60696.09507640079
13.09,51358.23429541569
13.1,44354.83870967757
13.12,42020.37351443153
13.13,42020.37351443153
13.14,44354.83870967757
13.15,44354.83870967757
13.16,44354.83870967757
13.17,44354.83870967757
13.19,46689.30390492361
13.2,49023.76910016965
13.21,49023.76910016965
13.22,49023.76910016965
13.23,49023.76910016965
13.25,49023.76910016965
13.26,49023.76910016965
13.27,46689.30390492361
13.28,46689.30390492361
13.29,46689.30390492361
13.31,46689.30390492361
13.32,46689.30390492361
13.33,44354.83870967757
13.34,42020.37351443153
13.35,39685.90831918502
13.37,39685.90831918502
13.38,51358.23429541569
13.39,53692.6994906622
13.4,56027.16468590824
13.41,56027.16468590824
13.42,56027.16468590824
13.44,56027.16468590824
13.45,51358.23429541569
13.46,46689.30390492361
13.47,39685.90831918502
13.48,39685.90831918502
13.5,39685.90831918502
13.51,39685.90831918502
13.52,39685.90831918502
13.53,39685.90831918502
13.54,39685.90831918502
13.56,42020.37351443153
13.57,42020.37351443153
13.58,42020.37351443153
13.59,42020.37351443153
13.6,42020.37351443153
13.61,42020.37351443153
13.63,42020.37351443153
13.64,39685.90831918502
13.65,37351.44312393898
13.66,37351.44312393898
13.67,37351.44312393898
13.69,39685.90831918502
13.7,60696.09507640079
13.71,226443.12393887946
13.72,354838.70967741916
13.73,777376.9100169777
13.75,1134550.0848896436
13.76,1136884.5500848896
13.77,1139219.015280136
13.78,1139219.015280136
13.79,1139219.015280136
13.8,1136884.5500848896
13.82,1134550.0848896436
13.83,1050509.3378607812
13.84,368845.50084889634
13.85,147071.30730050942
13.86,46689.30390492361
13.88,39685.90831918502
13.89,42020.37351443153
13.9,42020.37351443153
13.91,51358.23429541569
13.92,116723.25976230903
13.94,135398.98132427828
13.95,137733.44651952432
13.96,137733.44651952432
13.97,137733.44651952432
13.98,137733.44651952432
14.0,137733.44651952432
14.01,137733.44651952432
14.02,135398.98132427828
14.03,130730.0509337862
14.04,60696.09507640079
14.05,58361.629881154746
14.07,56027.16468590824
14.08,53692.6994906622
14.09,56027.16468590824
14.1,65365.02546689287
14.11,74702.88624787796
14.13,77037.351443124
14.14,77037.351443124
14.15,79371.81663837004
14.16,77037.351443124
14.17,74702.88624787796
14.19,72368.42105263146
14.2,49023.76910016965
14.21,42020.37351443153
14.22,39685.90831918502
14.23,37351.44312393898
14.24,37351.44312393898
14.26,37351.44312393898
14.27,79371.81663837004
