X (RT/min),Y (Intensity)
11.0,123456.79012345709
11.01,123456.79012345709
11.02,123456.79012345709
11.03,123456.79012345709
11.05,123456.79012345709
11.06,98765.43209876493
11.07,49382.71604938246
11.08,24691.358024692163
11.09,12345.67901234515
11.11,12345.67901234515
11.13,24691.358024692163
11.14,12345.67901234515
11.15,12345.67901234515
11.16,37037.03703703731
11.17,259259.25925925933
11.18,283950.6172839515
11.19,283950.6172839515
11.21,296296.2962962948
11.22,283950.6172839515
11.23,296296.2962962948
11.24,283950.6172839515
11.25,283950.6172839515
11.26,259259.25925925933
11.41,12345.67901234515
11.42,49382.71604938246
11.44,49382.71604938246
11.45,49382.71604938246
11.46,49382.71604938246
11.47,259259.25925925933
11.48,876543.2098765429
11.49,3901234.567901235
11.5,6296296.296296297
11.52,9086419.75308642
11.53,12086419.75308642
11.54,12333333.333333332
11.55,12345679.01234568
11.56,12358024.691358024
11.57,12358024.691358024
11.59,12358024.691358024
11.6,12345679.01234568
11.61,12333333.333333332
11.62,11172839.50617284
11.63,7283950.617283951
11.64,925925.9259259272
11.65,61728.39506172761
11.7,24691.358024692163
11.71,61728.39506172761
11.72,86419.75308641978
11.73,98765.43209876493
11.75,98765.43209876493
11.76,98765.43209876493
11.77,74074.07407407463
11.78,160493.8271604944
11.79,654320.9876543209
11.8,666666.666666666
11.82,666666.666666666
11.83,679012.3456790131
11.84,679012.3456790131
11.85,679012.3456790131
11.86,666666.666666666
11.87,641975.3086419757
11.88,296296.2962962948
11.9,197530.86419753172
11.91,135802.46913580224
11.92,86419.75308641978
11.93,61728.39506172761
11.94,37037.03703703731
11.95,24691.358024692163
11.96,12345.67901234515
11.98,12345.67901234515
11.99,12345.67901234515
12.04,61728.39506172761
12.06,1432098.7654320989
12.07,2864197.5308641978
12.08,4049382.7160493825
12.09,7617283.950617284
12.1,10506172.839506172
12.11,10518518.518518519
12.13,10530864.197530864
12.14,10543209.876543209
12.15,10543209.876543209
12.16,10530864.197530864
12.17,10518518.518518519
12.18,10481481.481481481
12.19,6222222.222222222
12.21,3493827.1604938284
12.22,604938.2716049384
12.23,86419.75308641978
12.68,148148.1481481474
12.69,172839.50617283955
12.7,172839.50617283955
12.71,172839.50617283955
12.72,172839.50617283955
12.73,172839.50617283955
12.75,172839.50617283955
12.76,172839.50617283955
12.77,148148.1481481474
12.78,12345.67901234515
12.87,12345.67901234515
12.88,12345.67901234515
13.03,160493.8271604944
13.04,197530.86419753172
13.06,209876.543209875
13.07,209876.543209875
13.08,209876.543209875
13.09,197530.86419753172
13.1,197530.86419753172
13.11,185185.18518518656
13.12,49382.71604938246
13.16,12345.67901234515
13.17,12345.67901234515
13.18,12345.67901234515
13.79,98765.43209876493
13.8,851851.8518518526
13.81,4037037.0370370373
13.83,6703703.703703704
13.84,6716049.382716049
13.85,6728395.061728395
13.86,6728395.061728395
13.87,6728395.061728395
13.88,6716049.382716049
13.89,6716049.382716049
13.91,6580246.913580246
13.92,3629629.6296296306
13.93,2074074.0740740746
13.94,1135802.4691358022
13.95,320987.65432098694
13.96,123456.79012345709
14.35,444444.4444444459
14.37,1024691.3580246922
