X (RT/min),Y (Intensity)
10.0,238944.91854150593
10.01,238944.91854150593
10.02,238944.91854150593
10.03,238944.91854150593
10.05,238944.91854150593
10.06,238944.91854150593
10.07,238944.91854150593
10.08,238944.91854150593
10.09,238944.91854150593
10.1,238944.91854150593
10.11,238944.91854150593
10.12,238944.91854150593
10.14,238944.91854150593
10.15,238944.91854150593
10.16,238944.91854150593
10.17,238944.91854150593
10.18,238944.91854150593
10.19,238944.91854150593
10.2,238944.91854150593
10.21,238944.91854150593
10.23,238944.91854150593
10.24,238944.91854150593
10.25,238944.91854150593
10.26,238944.91854150593
10.27,238944.91854150593
10.28,238944.91854150593
10.29,238944.91854150593
10.3,238944.91854150593
10.32,238944.91854150593
10.33,238944.91854150593
10.34,238944.91854150593
10.35,238944.91854150593
10.36,238944.91854150593
10.37,238944.91854150593
10.38,238944.91854150593
10.39,238944.91854150593
10.41,238944.91854150593
10.42,238944.91854150593
10.43,238944.91854150593
10.44,238944.91854150593
10.45,238944.91854150593
10.46,238944.91854150593
10.47,238944.91854150593
10.48,238944.91854150593
10.5,238944.91854150593
10.51,238944.91854150593
10.52,238944.91854150593
10.53,238944.91854150593
10.54,238944.91854150593
10.55,238944.91854150593
10.56,238944.91854150593
10.57,238944.91854150593
10.59,238944.91854150593
10.6,238944.91854150593
10.61,238944.91854150593
10.62,238944.91854150593
10.63,238944.91854150593
10.64,238944.91854150593
10.65,238944.91854150593
10.67,238944.91854150593
10.68,238944.91854150593
10.69,238944.91854150593
10.7,238944.91854150593
10.71,238944.91854150593
10.72,238944.91854150593
10.73,238944.91854150593
10.74,238944.91854150593
10.76,238944.91854150593
10.77,238944.91854150593
10.78,238944.91854150593
10.79,249806.0512024816
10.8,249806.0512024816
10.81,249806.0512024816
10.82,238944.91854150593
10.83,238944.91854150593
10.85,238944.91854150593
10.86,238944.91854150593
10.87,249806.0512024816
10.88,238944.91854150593
10.89,249806.0512024816
10.9,249806.0512024816
10.91,249806.0512024816
10.92,249806.0512024816
10.94,249806.0512024816
10.95,249806.0512024816
10.96,238944.91854150593
10.97,249806.0512024816
10.98,238944.91854150593
10.99,249806.0512024816
11.0,282389.44918541424
11.01,304111.7145073693
11.03,325833.9798293244
11.04,325833.9798293244
11.05,325833.9798293244
11.06,325833.9798293244
11.07,325833.9798293244
11.08,325833.9798293244
11.09,314972.84716834873
11.1,314972.84716834873
11.12,304111.7145073693
11.13,293250.58184639364
11.14,293250.58184639364
11.15,282389.44918541424
11.16,282389.44918541424
11.17,282389.44918541424
11.18,282389.44918541424
11.2,282389.44918541424
11.21,282389.44918541424
11.22,282389.44918541424
11.23,282389.44918541424
11.24,282389.44918541424
11.25,282389.44918541424
11.26,282389.44918541424
11.27,282389.44918541424
11.29,282389.44918541424
11.3,282389.44918541424
11.31,282389.44918541424
11.32,293250.58184639364
11.33,314972.84716834873
11.34,336695.11249030195
11.35,391000.7757951915
11.36,521334.3677269202
11.38,619084.561675718
11.39,629945.6943366937
11.4,640806.8269976731
11.41,640806.8269976731
11.42,651667.9596586507
11.43,1618308.7664856482
11.44,2595810.7059736233
11.45,3953452.2885958105
11.47,5017843.289371606
11.48,6701318.8518231185
11.49,7787432.117920869
11.5,8982156.710628394
11.51,9221101.6291699
11.52,9231962.761830878
11.53,9242823.894491855
11.54,9242823.894491855
11.56,9242823.894491855
11.57,9231962.761830878
11.58,9231962.761830878
11.59,9199379.363847945
11.6,8971295.577967416
11.61,7635376.260667184
11.62,5278510.473235067
11.63,3551590.3801396433
11.65,1574864.235841738
11.66,629945.6943366937
11.67,304111.7145073693
11.68,304111.7145073693
11.69,293250.58184639364
11.7,347556.2451512795
11.71,358417.37781225704
11.72,380139.6431342121
11.74,391000.7757951915
11.75,391000.7757951915
11.76,325833.9798293244
11.78,716834.7556245159
11.79,727695.8882854916
11.8,727695.8882854916
11.82,727695.8882854916
11.83,727695.8882854916
11.84,727695.8882854916
11.85,716834.7556245159
11.86,488750.96974398755
11.87,401861.9084561672
11.88,347556.2451512795
11.89,358417.37781225704
11.91,347556.2451512795
11.92,358417.37781225704
11.93,347556.2451512795
11.94,314972.84716834873
11.95,293250.58184639364
11.96,304111.7145073693
11.97,304111.7145073693
11.98,325833.9798293244
12.0,434445.30643909983
12.01,825446.0822342895
12.02,1422808.3785880525
12.03,2324282.3894491848
12.04,3660201.7067494188
12.05,4746314.972847167
12.06,6017067.494181536
12.07,6082234.2901474
12.09,6103956.555469356
12.1,6114817.688130334
12.11,6114817.688130334
12.12,6114817.688130334
12.13,6103956.555469356
12.14,6093095.422808379
12.15,6082234.2901474
12.16,4398758.727695888
12.18,1564003.1031807605
12.19,619084.561675718
12.2,358417.37781225704
12.21,314972.84716834873
12.22,293250.58184639364
12.23,282389.44918541424
12.24,282389.44918541424
12.25,271528.31652443856
12.27,260667.18386345915
12.28,260667.18386345915
12.29,260667.18386345915
12.3,260667.18386345915
12.31,260667.18386345915
12.32,260667.18386345915
12.33,249806.0512024816
12.34,249806.0512024816
12.36,249806.0512024816
12.37,249806.0512024816
12.38,260667.18386345915
12.39,260667.18386345915
12.4,249806.0512024816
12.41,249806.0512024816
12.42,260667.18386345915
12.44,271528.31652443856
12.45,271528.31652443856
12.46,282389.44918541424
12.47,293250.58184639364
12.48,293250.58184639364
12.49,293250.58184639364
12.5,293250.58184639364
12.51,282389.44918541424
12.53,282389.44918541424
12.54,282389.44918541424
12.55,282389.44918541424
12.56,282389.44918541424
12.57,271528.31652443856
12.58,271528.31652443856
12.59,260667.18386345915
12.6,271528.31652443856
