X (RT/min),Y (Intensity)
10.0,45214.770158249885
10.01,45214.770158249885
10.02,45214.770158249885
10.03,45214.770158249885
10.04,45214.770158249885
10.06,45214.770158249885
10.07,45214.770158249885
10.08,45214.770158249885
10.09,45214.770158249885
10.1,45214.770158249885
10.11,45214.770158249885
10.12,45214.770158249885
10.13,45214.770158249885
10.15,45214.770158249885
10.16,45214.770158249885
10.17,45214.770158249885
10.18,45214.770158249885
10.19,45214.770158249885
10.2,45214.770158249885
10.21,45214.770158249885
10.22,45214.770158249885
10.23,45214.770158249885
10.25,45214.770158249885
10.26,45214.770158249885
10.27,45214.770158249885
10.28,45214.770158249885
10.29,45214.770158249885
10.3,45214.770158249885
10.31,45214.770158249885
10.32,45214.770158249885
10.33,45214.770158249885
10.35,45214.770158249885
10.36,45214.770158249885
10.37,45214.770158249885
10.38,60286.36021099985
10.39,60286.36021099985
10.4,60286.36021099985
10.41,60286.36021099985
10.42,60286.36021099985
10.44,60286.36021099985
10.45,60286.36021099985
10.46,60286.36021099985
10.47,60286.36021099985
10.48,60286.36021099985
10.49,60286.36021099985
10.5,60286.36021099985
10.51,60286.36021099985
10.52,60286.36021099985
10.54,60286.36021099985
10.55,60286.36021099985
10.56,60286.36021099985
10.57,60286.36021099985
10.58,60286.36021099985
10.59,60286.36021099985
10.6,60286.36021099985
10.61,60286.36021099985
10.62,60286.36021099985
10.64,60286.36021099985
10.65,60286.36021099985
10.66,60286.36021099985
10.67,60286.36021099985
10.68,45214.770158249885
10.69,45214.770158249885
10.7,45214.770158249885
10.71,45214.770158249885
10.73,45214.770158249885
10.74,45214.770158249885
10.75,45214.770158249885
10.76,45214.770158249885
10.77,45214.770158249885
10.78,45214.770158249885
10.79,45214.770158249885
10.8,45214.770158249885
10.81,45214.770158249885
10.83,45214.770158249885
10.84,45214.770158249885
10.85,45214.770158249885
10.86,45214.770158249885
10.87,45214.770158249885
10.88,45214.770158249885
10.89,45214.770158249885
10.9,45214.770158249885
10.92,45214.770158249885
10.93,45214.770158249885
10.94,45214.770158249885
10.95,45214.770158249885
10.96,45214.770158249885
10.97,60286.36021099985
10.98,75357.95026375353
10.99,150715.90052750334
11.0,180859.080633007
11.02,180859.080633007
11.03,180859.080633007
11.04,180859.080633007
11.05,150715.90052750334
11.06,120572.72042200714
11.07,105501.13036925346
11.08,105501.13036925346
11.09,105501.13036925346
11.1,135644.31047475338
11.12,150715.90052750334
11.13,165787.49058025703
11.14,165787.49058025703
11.15,165787.49058025703
11.16,150715.90052750334
11.17,135644.31047475338
11.18,135644.31047475338
11.19,120572.72042200714
11.21,105501.13036925346
